website_session_id,product_made_it,mrfuzzy_made_it,cart_made_it,shipping_made_it,billing_made_it,thankyou_made_it
18455,0,0,0,0,0,0
18456,1,1,0,0,0,0
18457,1,0,0,0,0,0
18458,0,0,0,0,0,0
18459,0,0,0,0,0,0
18460,0,0,0,0,0,0
18462,1,0,0,0,0,0
18463,0,0,0,0,0,0
18464,0,0,0,0,0,0
18465,0,0,0,0,0,0
18466,0,0,0,0,0,0
18467,1,1,1,1,1,1
18468,0,0,0,0,0,0
18469,1,1,0,0,0,0
18470,1,0,0,0,0,0
18471,0,0,0,0,0,0
18472,1,0,0,0,0,0
18473,0,0,0,0,0,0
18474,1,1,0,0,0,0
18475,0,0,0,0,0,0
18477,0,0,0,0,0,0
18478,1,1,1,1,1,1
18479,0,0,0,0,0,0
18481,1,0,0,0,0,0
18482,0,0,0,0,0,0
18484,1,0,0,0,0,0
18485,1,1,0,0,0,0
18486,1,1,0,0,0,0
18487,0,0,0,0,0,0
18488,0,0,0,0,0,0
18489,0,0,0,0,0,0
18490,0,0,0,0,0,0
18492,0,0,0,0,0,0
18493,0,0,0,0,0,0
18494,0,0,0,0,0,0
18495,1,1,0,0,0,0
18496,1,1,1,1,0,0
18497,0,0,0,0,0,0
18498,0,0,0,0,0,0
18499,1,1,0,0,0,0
18500,1,1,1,1,1,0
18501,0,0,0,0,0,0
18502,1,0,0,0,0,0
18503,0,0,0,0,0,0
18504,1,1,1,0,0,0
18505,0,0,0,0,0,0
18506,0,0,0,0,0,0
18507,0,0,0,0,0,0
18508,0,0,0,0,0,0
18509,0,0,0,0,0,0
18511,1,1,0,0,0,0
18512,0,0,0,0,0,0
18513,1,1,1,0,0,0
18514,0,0,0,0,0,0
18515,0,0,0,0,0,0
18516,0,0,0,0,0,0
18518,1,1,1,1,0,0
18520,1,1,0,0,0,0
18521,0,0,0,0,0,0
18522,1,1,0,0,0,0
18523,1,1,0,0,0,0
18524,1,1,1,1,1,0
18525,1,1,0,0,0,0
18526,0,0,0,0,0,0
18527,1,1,1,1,0,0
18528,0,0,0,0,0,0
18529,1,1,1,0,0,0
18530,0,0,0,0,0,0
18531,1,0,0,0,0,0
18532,0,0,0,0,0,0
18534,1,1,0,0,0,0
18536,0,0,0,0,0,0
18538,1,0,0,0,0,0
18539,0,0,0,0,0,0
18540,1,1,0,0,0,0
18541,1,1,1,1,1,0
18542,0,0,0,0,0,0
18543,0,0,0,0,0,0
18545,1,1,0,0,0,0
18546,0,0,0,0,0,0
18547,1,1,0,0,0,0
18548,1,0,0,0,0,0
18549,0,0,0,0,0,0
18550,0,0,0,0,0,0
18551,1,1,1,0,0,0
18552,0,0,0,0,0,0
18553,0,0,0,0,0,0
18554,1,0,0,0,0,0
18555,1,0,0,0,0,0
18556,1,1,1,1,1,0
18559,0,0,0,0,0,0
18560,0,0,0,0,0,0
18561,1,1,1,1,0,0
18562,1,1,1,1,1,0
18563,0,0,0,0,0,0
18564,0,0,0,0,0,0
18565,0,0,0,0,0,0
18566,0,0,0,0,0,0
18567,1,1,0,0,0,0
18568,0,0,0,0,0,0
18569,1,1,0,0,0,0
18570,1,1,1,0,0,0
18571,0,0,0,0,0,0
18572,1,0,0,0,0,0
18573,1,1,0,0,0,0
18574,1,1,1,1,1,0
18575,1,1,1,1,0,0
18576,1,1,0,0,0,0
18577,0,0,0,0,0,0
18578,0,0,0,0,0,0
18579,1,1,0,0,0,0
18580,0,0,0,0,0,0
18581,0,0,0,0,0,0
18582,0,0,0,0,0,0
18583,1,1,1,1,1,0
18584,1,1,0,0,0,0
18586,1,1,1,0,0,0
18587,1,1,0,0,0,0
18589,1,0,0,0,0,0
18590,0,0,0,0,0,0
18591,0,0,0,0,0,0
18592,1,0,0,0,0,0
18594,0,0,0,0,0,0
18595,1,0,0,0,0,0
18596,1,1,0,0,0,0
18597,0,0,0,0,0,0
18598,0,0,0,0,0,0
18599,0,0,0,0,0,0
18600,1,0,0,0,0,0
18601,0,0,0,0,0,0
18602,0,0,0,0,0,0
18604,1,1,0,0,0,0
18605,0,0,0,0,0,0
18606,0,0,0,0,0,0
18607,1,1,1,1,0,0
18608,0,0,0,0,0,0
18609,1,1,1,0,0,0
18610,0,0,0,0,0,0
18611,1,1,1,1,0,0
18612,0,0,0,0,0,0
18613,1,0,0,0,0,0
18615,0,0,0,0,0,0
18616,0,0,0,0,0,0
18617,1,0,0,0,0,0
18618,1,1,0,0,0,0
18619,0,0,0,0,0,0
18620,0,0,0,0,0,0
18621,0,0,0,0,0,0
18622,1,1,0,0,0,0
18624,1,1,1,0,0,0
18625,0,0,0,0,0,0
18626,0,0,0,0,0,0
18627,1,1,1,1,1,1
18628,1,1,0,0,0,0
18629,0,0,0,0,0,0
18630,0,0,0,0,0,0
18631,0,0,0,0,0,0
18632,1,1,1,1,1,0
18633,0,0,0,0,0,0
18636,0,0,0,0,0,0
18637,0,0,0,0,0,0
18638,0,0,0,0,0,0
18639,0,0,0,0,0,0
18640,1,1,0,0,0,0
18641,0,0,0,0,0,0
18642,0,0,0,0,0,0
18643,1,1,1,1,1,1
18644,0,0,0,0,0,0
18645,0,0,0,0,0,0
18646,0,0,0,0,0,0
18647,1,1,1,0,0,0
18649,1,1,0,0,0,0
18651,1,0,0,0,0,0
18652,1,1,1,1,0,0
18653,1,0,0,0,0,0
18654,1,0,0,0,0,0
18655,1,1,1,1,1,1
18656,0,0,0,0,0,0
18657,1,1,0,0,0,0
18658,0,0,0,0,0,0
18659,0,0,0,0,0,0
18660,0,0,0,0,0,0
18663,1,1,0,0,0,0
18664,0,0,0,0,0,0
18665,1,1,0,0,0,0
18666,0,0,0,0,0,0
18667,0,0,0,0,0,0
18668,0,0,0,0,0,0
18669,0,0,0,0,0,0
18670,1,1,1,1,1,0
18671,0,0,0,0,0,0
18672,0,0,0,0,0,0
18673,0,0,0,0,0,0
18674,1,1,0,0,0,0
18675,0,0,0,0,0,0
18676,0,0,0,0,0,0
18677,0,0,0,0,0,0
18678,0,0,0,0,0,0
18679,1,0,0,0,0,0
18680,1,0,0,0,0,0
18681,1,1,0,0,0,0
18682,0,0,0,0,0,0
18685,0,0,0,0,0,0
18686,0,0,0,0,0,0
18687,1,1,1,1,1,1
18688,0,0,0,0,0,0
18689,1,1,1,0,0,0
18690,1,1,0,0,0,0
18693,0,0,0,0,0,0
18694,1,0,0,0,0,0
18695,0,0,0,0,0,0
18696,0,0,0,0,0,0
18697,0,0,0,0,0,0
18698,1,1,0,0,0,0
18699,0,0,0,0,0,0
18700,0,0,0,0,0,0
18701,1,0,0,0,0,0
18702,0,0,0,0,0,0
18703,1,0,0,0,0,0
18704,1,1,1,1,1,0
18705,1,0,0,0,0,0
18706,1,1,0,0,0,0
18707,1,1,1,0,0,0
18708,0,0,0,0,0,0
18709,0,0,0,0,0,0
18710,0,0,0,0,0,0
18711,0,0,0,0,0,0
18712,1,0,0,0,0,0
18713,1,0,0,0,0,0
18714,0,0,0,0,0,0
18715,0,0,0,0,0,0
18716,0,0,0,0,0,0
18717,1,0,0,0,0,0
18718,0,0,0,0,0,0
18719,1,1,0,0,0,0
18720,1,1,0,0,0,0
18722,1,0,0,0,0,0
18723,0,0,0,0,0,0
18724,0,0,0,0,0,0
18725,0,0,0,0,0,0
18726,1,1,0,0,0,0
18727,1,0,0,0,0,0
18728,0,0,0,0,0,0
18729,1,1,1,1,1,1
18730,0,0,0,0,0,0
18732,0,0,0,0,0,0
18734,1,1,0,0,0,0
18735,1,1,1,1,1,0
18736,1,1,1,0,0,0
18737,0,0,0,0,0,0
18738,1,1,0,0,0,0
18739,0,0,0,0,0,0
18740,1,1,0,0,0,0
18741,0,0,0,0,0,0
18743,1,1,0,0,0,0
18744,0,0,0,0,0,0
18745,0,0,0,0,0,0
18746,0,0,0,0,0,0
18747,1,1,1,0,0,0
18748,0,0,0,0,0,0
18749,1,1,0,0,0,0
18751,0,0,0,0,0,0
18752,0,0,0,0,0,0
18753,1,1,0,0,0,0
18754,1,0,0,0,0,0
18755,0,0,0,0,0,0
18756,0,0,0,0,0,0
18757,1,1,0,0,0,0
18758,0,0,0,0,0,0
18759,0,0,0,0,0,0
18761,0,0,0,0,0,0
18763,0,0,0,0,0,0
18764,0,0,0,0,0,0
18765,1,1,0,0,0,0
18766,1,1,0,0,0,0
18768,1,1,0,0,0,0
18769,0,0,0,0,0,0
18770,1,1,0,0,0,0
18771,0,0,0,0,0,0
18772,1,0,0,0,0,0
18773,1,0,0,0,0,0
18774,1,1,0,0,0,0
18777,1,1,0,0,0,0
18778,1,1,0,0,0,0
18779,1,1,0,0,0,0
18780,0,0,0,0,0,0
18781,0,0,0,0,0,0
18782,0,0,0,0,0,0
18783,0,0,0,0,0,0
18784,1,1,1,1,1,0
18785,1,0,0,0,0,0
18788,1,1,0,0,0,0
18789,1,0,0,0,0,0
18790,0,0,0,0,0,0
18791,0,0,0,0,0,0
18792,0,0,0,0,0,0
18793,1,1,0,0,0,0
18794,0,0,0,0,0,0
18795,0,0,0,0,0,0
18796,1,1,1,0,0,0
18798,1,1,0,0,0,0
18799,0,0,0,0,0,0
18800,1,1,1,1,1,1
18801,0,0,0,0,0,0
18802,0,0,0,0,0,0
18803,0,0,0,0,0,0
18805,0,0,0,0,0,0
18806,1,1,1,0,0,0
18807,0,0,0,0,0,0
18808,0,0,0,0,0,0
18809,1,0,0,0,0,0
18810,1,1,0,0,0,0
18811,0,0,0,0,0,0
18812,1,1,0,0,0,0
18814,0,0,0,0,0,0
18815,1,1,0,0,0,0
18816,0,0,0,0,0,0
18817,1,0,0,0,0,0
18818,1,1,0,0,0,0
18819,0,0,0,0,0,0
18820,0,0,0,0,0,0
18821,1,1,0,0,0,0
18825,0,0,0,0,0,0
18826,0,0,0,0,0,0
18827,1,1,0,0,0,0
18828,0,0,0,0,0,0
18829,0,0,0,0,0,0
18830,1,1,0,0,0,0
18831,0,0,0,0,0,0
18832,0,0,0,0,0,0
18833,1,0,0,0,0,0
18834,1,1,0,0,0,0
18835,1,1,1,0,0,0
18836,0,0,0,0,0,0
18837,0,0,0,0,0,0
18838,0,0,0,0,0,0
18839,1,1,1,1,1,0
18840,1,1,0,0,0,0
18841,0,0,0,0,0,0
18843,1,1,1,1,1,1
18844,0,0,0,0,0,0
18845,1,0,0,0,0,0
18846,0,0,0,0,0,0
18847,1,1,1,1,1,0
18848,0,0,0,0,0,0
18849,0,0,0,0,0,0
18850,1,0,0,0,0,0
18852,1,1,0,0,0,0
18853,0,0,0,0,0,0
18854,1,0,0,0,0,0
18855,1,1,1,1,1,0
18856,0,0,0,0,0,0
18857,1,1,1,1,0,0
18858,1,1,0,0,0,0
18859,0,0,0,0,0,0
18860,0,0,0,0,0,0
18861,0,0,0,0,0,0
18862,0,0,0,0,0,0
18863,0,0,0,0,0,0
18864,1,0,0,0,0,0
18865,0,0,0,0,0,0
18866,0,0,0,0,0,0
18867,1,1,1,1,1,1
18868,1,1,0,0,0,0
18869,0,0,0,0,0,0
18871,0,0,0,0,0,0
18872,1,1,1,1,1,1
18873,1,0,0,0,0,0
18874,0,0,0,0,0,0
18875,0,0,0,0,0,0
18877,0,0,0,0,0,0
18878,1,0,0,0,0,0
18879,1,0,0,0,0,0
18881,1,0,0,0,0,0
18882,0,0,0,0,0,0
18883,1,1,1,0,0,0
18884,1,1,1,1,1,1
18885,0,0,0,0,0,0
18886,0,0,0,0,0,0
18887,1,1,1,1,1,0
18888,1,1,0,0,0,0
18889,1,1,0,0,0,0
18891,1,1,1,1,1,1
18892,0,0,0,0,0,0
18893,0,0,0,0,0,0
18894,0,0,0,0,0,0
18895,1,1,0,0,0,0
18896,1,1,0,0,0,0
18897,0,0,0,0,0,0
18898,0,0,0,0,0,0
18899,0,0,0,0,0,0
18900,0,0,0,0,0,0
18901,0,0,0,0,0,0
18902,1,0,0,0,0,0
18903,0,0,0,0,0,0
18904,0,0,0,0,0,0
18905,1,1,0,0,0,0
18906,1,0,0,0,0,0
18907,0,0,0,0,0,0
18908,0,0,0,0,0,0
18909,1,1,1,1,1,1
18910,1,1,0,0,0,0
18912,1,1,0,0,0,0
18913,0,0,0,0,0,0
18914,1,0,0,0,0,0
18915,1,0,0,0,0,0
18916,0,0,0,0,0,0
18917,0,0,0,0,0,0
18918,1,1,1,1,1,0
18921,0,0,0,0,0,0
18922,0,0,0,0,0,0
18925,1,1,1,0,0,0
18926,0,0,0,0,0,0
18927,0,0,0,0,0,0
18928,1,1,0,0,0,0
18929,0,0,0,0,0,0
18930,0,0,0,0,0,0
18931,1,0,0,0,0,0
18932,1,1,0,0,0,0
18933,1,1,0,0,0,0
18934,1,1,1,0,0,0
18935,0,0,0,0,0,0
18936,0,0,0,0,0,0
18937,1,1,0,0,0,0
18938,1,0,0,0,0,0
18939,1,1,1,1,1,0
18941,1,1,1,1,1,1
18942,0,0,0,0,0,0
18943,0,0,0,0,0,0
18944,0,0,0,0,0,0
18945,0,0,0,0,0,0
18946,0,0,0,0,0,0
18947,1,1,1,1,0,0
18949,1,1,0,0,0,0
18951,1,1,0,0,0,0
18953,0,0,0,0,0,0
18954,0,0,0,0,0,0
18955,1,0,0,0,0,0
18956,1,1,1,1,1,1
18957,0,0,0,0,0,0
18958,1,1,0,0,0,0
18959,0,0,0,0,0,0
18960,0,0,0,0,0,0
18961,1,1,1,1,1,1
18962,1,1,1,1,1,0
18964,1,1,0,0,0,0
18966,1,1,0,0,0,0
18967,1,1,0,0,0,0
18968,0,0,0,0,0,0
18969,0,0,0,0,0,0
18970,1,1,0,0,0,0
18971,0,0,0,0,0,0
18972,1,1,0,0,0,0
18973,1,1,0,0,0,0
18974,0,0,0,0,0,0
18975,1,1,1,1,1,1
18976,0,0,0,0,0,0
18977,1,1,1,1,1,1
18978,0,0,0,0,0,0
18979,1,1,1,0,0,0
18980,1,1,0,0,0,0
18981,1,1,0,0,0,0
18982,1,1,0,0,0,0
18983,1,1,1,1,1,1
18984,1,1,1,1,1,0
18985,1,1,0,0,0,0
18986,0,0,0,0,0,0
18987,1,1,0,0,0,0
18988,0,0,0,0,0,0
18989,1,1,0,0,0,0
18990,0,0,0,0,0,0
18991,0,0,0,0,0,0
18992,1,1,1,0,0,0
18993,0,0,0,0,0,0
18994,1,1,1,1,1,0
18995,1,0,0,0,0,0
18996,1,1,1,1,1,0
18997,1,0,0,0,0,0
18998,0,0,0,0,0,0
18999,0,0,0,0,0,0
19000,1,1,1,1,1,0
19001,1,1,0,0,0,0
19002,0,0,0,0,0,0
19003,0,0,0,0,0,0
19004,0,0,0,0,0,0
19005,1,0,0,0,0,0
19006,0,0,0,0,0,0
19007,0,0,0,0,0,0
19008,1,1,1,1,1,0
19009,0,0,0,0,0,0
19010,0,0,0,0,0,0
19011,0,0,0,0,0,0
19012,0,0,0,0,0,0
19013,1,0,0,0,0,0
19015,1,0,0,0,0,0
19016,0,0,0,0,0,0
19019,1,1,1,0,0,0
19020,0,0,0,0,0,0
19021,0,0,0,0,0,0
19022,1,1,0,0,0,0
19023,1,1,0,0,0,0
19025,0,0,0,0,0,0
19026,1,1,0,0,0,0
19028,1,0,0,0,0,0
19030,1,0,0,0,0,0
19031,1,1,1,0,0,0
19034,1,1,1,1,1,0
19035,1,1,0,0,0,0
19036,0,0,0,0,0,0
19037,1,1,1,1,1,1
19039,1,1,1,1,1,1
19040,0,0,0,0,0,0
19041,1,1,0,0,0,0
19042,0,0,0,0,0,0
19043,0,0,0,0,0,0
19045,1,1,0,0,0,0
19046,1,1,0,0,0,0
19048,0,0,0,0,0,0
19050,1,1,0,0,0,0
19051,0,0,0,0,0,0
19052,0,0,0,0,0,0
19053,1,1,1,1,1,1
19054,0,0,0,0,0,0
19055,0,0,0,0,0,0
19056,0,0,0,0,0,0
19057,0,0,0,0,0,0
19059,0,0,0,0,0,0
19060,0,0,0,0,0,0
19061,1,0,0,0,0,0
19062,0,0,0,0,0,0
19063,0,0,0,0,0,0
19064,1,1,0,0,0,0
19065,0,0,0,0,0,0
19066,0,0,0,0,0,0
19068,1,1,1,1,1,1
19069,1,1,0,0,0,0
19070,0,0,0,0,0,0
19071,1,0,0,0,0,0
19072,0,0,0,0,0,0
19073,0,0,0,0,0,0
19075,1,0,0,0,0,0
19076,1,1,0,0,0,0
19077,0,0,0,0,0,0
19078,0,0,0,0,0,0
19079,0,0,0,0,0,0
19080,0,0,0,0,0,0
19081,1,1,0,0,0,0
19082,0,0,0,0,0,0
19083,1,1,0,0,0,0
19084,0,0,0,0,0,0
19085,0,0,0,0,0,0
19086,1,1,1,1,1,1
19087,1,0,0,0,0,0
19088,0,0,0,0,0,0
19089,1,1,1,0,0,0
19090,0,0,0,0,0,0
19091,1,1,1,1,1,1
19092,1,1,0,0,0,0
19093,0,0,0,0,0,0
19096,1,1,1,1,0,0
19097,1,1,1,0,0,0
19098,0,0,0,0,0,0
19100,0,0,0,0,0,0
19101,1,1,1,1,1,1
19102,1,0,0,0,0,0
19103,1,0,0,0,0,0
19104,1,1,1,1,1,0
19105,0,0,0,0,0,0
19107,1,0,0,0,0,0
19108,0,0,0,0,0,0
19109,0,0,0,0,0,0
19110,0,0,0,0,0,0
19111,0,0,0,0,0,0
19112,1,0,0,0,0,0
19113,1,1,1,1,0,0
19114,0,0,0,0,0,0
19115,1,1,0,0,0,0
19116,1,0,0,0,0,0
19117,0,0,0,0,0,0
19118,0,0,0,0,0,0
19119,0,0,0,0,0,0
19120,0,0,0,0,0,0
19121,0,0,0,0,0,0
19122,1,1,0,0,0,0
19123,1,1,0,0,0,0
19124,0,0,0,0,0,0
19125,0,0,0,0,0,0
19126,0,0,0,0,0,0
19127,0,0,0,0,0,0
19128,0,0,0,0,0,0
19129,1,1,0,0,0,0
19130,1,1,0,0,0,0
19131,0,0,0,0,0,0
19132,0,0,0,0,0,0
19133,0,0,0,0,0,0
19134,1,1,1,1,0,0
19135,0,0,0,0,0,0
19136,0,0,0,0,0,0
19137,0,0,0,0,0,0
19138,0,0,0,0,0,0
19139,1,1,0,0,0,0
19140,1,1,1,0,0,0
19141,0,0,0,0,0,0
19142,0,0,0,0,0,0
19143,0,0,0,0,0,0
19144,1,0,0,0,0,0
19145,0,0,0,0,0,0
19146,0,0,0,0,0,0
19147,0,0,0,0,0,0
19151,0,0,0,0,0,0
19152,0,0,0,0,0,0
19153,1,0,0,0,0,0
19154,1,1,0,0,0,0
19155,1,1,0,0,0,0
19157,0,0,0,0,0,0
19158,1,1,0,0,0,0
19159,1,1,0,0,0,0
19161,0,0,0,0,0,0
19162,1,0,0,0,0,0
19163,1,0,0,0,0,0
19164,1,0,0,0,0,0
19165,0,0,0,0,0,0
19166,0,0,0,0,0,0
19167,1,1,1,0,0,0
19168,0,0,0,0,0,0
19169,0,0,0,0,0,0
19171,1,1,0,0,0,0
19172,0,0,0,0,0,0
19173,0,0,0,0,0,0
19174,1,1,0,0,0,0
19175,1,1,1,1,1,1
19176,0,0,0,0,0,0
19177,1,1,0,0,0,0
19178,0,0,0,0,0,0
19179,0,0,0,0,0,0
19180,0,0,0,0,0,0
19181,0,0,0,0,0,0
19182,1,1,1,0,0,0
19183,0,0,0,0,0,0
19184,0,0,0,0,0,0
19185,0,0,0,0,0,0
19186,0,0,0,0,0,0
19187,0,0,0,0,0,0
19188,1,0,0,0,0,0
19189,0,0,0,0,0,0
19190,0,0,0,0,0,0
19191,0,0,0,0,0,0
19192,1,1,1,1,0,0
19193,1,1,1,0,0,0
19194,0,0,0,0,0,0
19195,1,1,0,0,0,0
19196,1,1,0,0,0,0
19197,1,1,0,0,0,0
19198,0,0,0,0,0,0
19199,1,1,0,0,0,0
19200,1,1,1,1,0,0
19201,1,1,0,0,0,0
19202,0,0,0,0,0,0
19203,0,0,0,0,0,0
19204,0,0,0,0,0,0
19205,0,0,0,0,0,0
19206,1,1,1,0,0,0
19207,1,1,1,0,0,0
19208,0,0,0,0,0,0
19209,0,0,0,0,0,0
19210,0,0,0,0,0,0
19211,0,0,0,0,0,0
19212,1,1,0,0,0,0
19214,1,1,0,0,0,0
19215,0,0,0,0,0,0
19216,0,0,0,0,0,0
19217,1,1,0,0,0,0
19218,0,0,0,0,0,0
19219,0,0,0,0,0,0
19220,0,0,0,0,0,0
19221,0,0,0,0,0,0
19223,1,1,0,0,0,0
19226,1,1,1,0,0,0
19227,1,1,1,1,1,0
19228,0,0,0,0,0,0
19229,0,0,0,0,0,0
19230,1,1,0,0,0,0
19231,1,1,1,0,0,0
19232,0,0,0,0,0,0
19233,0,0,0,0,0,0
19234,0,0,0,0,0,0
19235,0,0,0,0,0,0
19236,1,1,0,0,0,0
19237,0,0,0,0,0,0
19238,0,0,0,0,0,0
19239,0,0,0,0,0,0
19240,1,1,1,1,1,0
19241,0,0,0,0,0,0
19242,0,0,0,0,0,0
19245,0,0,0,0,0,0
19246,1,1,0,0,0,0
19247,0,0,0,0,0,0
19248,0,0,0,0,0,0
19249,0,0,0,0,0,0
19250,0,0,0,0,0,0
19251,0,0,0,0,0,0
19252,0,0,0,0,0,0
19254,1,1,1,0,0,0
19255,1,1,1,1,1,0
19256,0,0,0,0,0,0
19257,1,1,0,0,0,0
19258,0,0,0,0,0,0
19259,0,0,0,0,0,0
19260,1,1,0,0,0,0
19261,1,1,1,1,1,0
19262,0,0,0,0,0,0
19263,1,1,1,0,0,0
19264,0,0,0,0,0,0
19265,1,1,0,0,0,0
19266,1,1,0,0,0,0
19267,0,0,0,0,0,0
19268,1,0,0,0,0,0
19269,0,0,0,0,0,0
19270,0,0,0,0,0,0
19272,0,0,0,0,0,0
19273,0,0,0,0,0,0
19274,0,0,0,0,0,0
19275,0,0,0,0,0,0
19276,0,0,0,0,0,0
19277,0,0,0,0,0,0
19278,0,0,0,0,0,0
19279,1,1,0,0,0,0
19280,1,1,0,0,0,0
19281,0,0,0,0,0,0
19282,1,1,0,0,0,0
19283,0,0,0,0,0,0
19284,1,1,0,0,0,0
19285,1,1,0,0,0,0
19287,0,0,0,0,0,0
19288,0,0,0,0,0,0
19290,0,0,0,0,0,0
19291,0,0,0,0,0,0
19292,0,0,0,0,0,0
