time_period,cart_session_id,clicked_to_another_page,placed_order,items_purchased,price_usd
"A. Pre_Cross_Sell",123252,1,1,1,59.99
"A. Pre_Cross_Sell",123257,0,0,NULL,NULL
"A. Pre_Cross_Sell",123261,0,0,NULL,NULL
"A. Pre_Cross_Sell",123268,0,0,NULL,NULL
"A. Pre_Cross_Sell",123273,0,0,NULL,NULL
"A. Pre_Cross_Sell",123281,1,1,1,49.99
"A. Pre_Cross_Sell",123282,1,0,NULL,NULL
"A. Pre_Cross_Sell",123284,1,1,1,49.99
"A. Pre_Cross_Sell",123286,1,1,1,49.99
"A. Pre_Cross_Sell",123296,0,0,NULL,NULL
"A. Pre_Cross_Sell",123302,1,0,NULL,NULL
"A. Pre_Cross_Sell",123314,1,1,1,49.99
"A. Pre_Cross_Sell",123322,0,0,NULL,NULL
"A. Pre_Cross_Sell",123324,1,1,1,59.99
"A. Pre_Cross_Sell",123326,1,0,NULL,NULL
"A. Pre_Cross_Sell",123328,1,0,NULL,NULL
"A. Pre_Cross_Sell",123333,1,1,1,59.99
"A. Pre_Cross_Sell",123338,1,1,1,49.99
"A. Pre_Cross_Sell",123339,0,0,NULL,NULL
"A. Pre_Cross_Sell",123343,0,0,NULL,NULL
"A. Pre_Cross_Sell",123348,0,0,NULL,NULL
"A. Pre_Cross_Sell",123353,0,0,NULL,NULL
"A. Pre_Cross_Sell",123354,1,0,NULL,NULL
"A. Pre_Cross_Sell",123357,0,0,NULL,NULL
"A. Pre_Cross_Sell",123358,1,1,1,49.99
"A. Pre_Cross_Sell",123360,1,0,NULL,NULL
"A. Pre_Cross_Sell",123366,1,1,1,59.99
"A. Pre_Cross_Sell",123369,1,0,NULL,NULL
"A. Pre_Cross_Sell",123377,0,0,NULL,NULL
"A. Pre_Cross_Sell",123380,0,0,NULL,NULL
"A. Pre_Cross_Sell",123381,0,0,NULL,NULL
"A. Pre_Cross_Sell",123384,0,0,NULL,NULL
"A. Pre_Cross_Sell",123390,1,0,NULL,NULL
"A. Pre_Cross_Sell",123391,1,0,NULL,NULL
"A. Pre_Cross_Sell",123394,1,1,1,59.99
"A. Pre_Cross_Sell",123397,1,1,1,49.99
"A. Pre_Cross_Sell",123399,0,0,NULL,NULL
"A. Pre_Cross_Sell",123402,0,0,NULL,NULL
"A. Pre_Cross_Sell",123409,1,0,NULL,NULL
"A. Pre_Cross_Sell",123423,1,0,NULL,NULL
"A. Pre_Cross_Sell",123424,0,0,NULL,NULL
"A. Pre_Cross_Sell",123426,0,0,NULL,NULL
"A. Pre_Cross_Sell",123437,0,0,NULL,NULL
"A. Pre_Cross_Sell",123440,0,0,NULL,NULL
"A. Pre_Cross_Sell",123443,1,1,1,49.99
"A. Pre_Cross_Sell",123461,1,1,1,49.99
"A. Pre_Cross_Sell",123467,1,1,1,59.99
"A. Pre_Cross_Sell",123468,0,0,NULL,NULL
"A. Pre_Cross_Sell",123474,1,1,1,49.99
"A. Pre_Cross_Sell",123484,1,1,1,49.99
"A. Pre_Cross_Sell",123492,1,1,1,49.99
"A. Pre_Cross_Sell",123496,1,0,NULL,NULL
"A. Pre_Cross_Sell",123500,1,1,1,59.99
"A. Pre_Cross_Sell",123501,1,0,NULL,NULL
"A. Pre_Cross_Sell",123513,0,0,NULL,NULL
"A. Pre_Cross_Sell",123514,0,0,NULL,NULL
"A. Pre_Cross_Sell",123515,1,1,1,49.99
"A. Pre_Cross_Sell",123524,0,0,NULL,NULL
"A. Pre_Cross_Sell",123526,1,1,1,49.99
"A. Pre_Cross_Sell",123536,0,0,NULL,NULL
"A. Pre_Cross_Sell",123538,1,0,NULL,NULL
"A. Pre_Cross_Sell",123539,1,1,1,49.99
"A. Pre_Cross_Sell",123549,0,0,NULL,NULL
"A. Pre_Cross_Sell",123552,1,1,1,49.99
"A. Pre_Cross_Sell",123554,1,1,1,49.99
"A. Pre_Cross_Sell",123563,0,0,NULL,NULL
"A. Pre_Cross_Sell",123565,1,0,NULL,NULL
"A. Pre_Cross_Sell",123571,1,1,1,49.99
"A. Pre_Cross_Sell",123581,1,1,1,59.99
"A. Pre_Cross_Sell",123583,1,0,NULL,NULL
"A. Pre_Cross_Sell",123587,0,0,NULL,NULL
"A. Pre_Cross_Sell",123588,0,0,NULL,NULL
"A. Pre_Cross_Sell",123590,0,0,NULL,NULL
"A. Pre_Cross_Sell",123593,1,1,1,49.99
"A. Pre_Cross_Sell",123596,0,0,NULL,NULL
"A. Pre_Cross_Sell",123601,0,0,NULL,NULL
"A. Pre_Cross_Sell",123607,1,1,1,59.99
"A. Pre_Cross_Sell",123610,1,0,NULL,NULL
"A. Pre_Cross_Sell",123620,1,0,NULL,NULL
"A. Pre_Cross_Sell",123623,0,0,NULL,NULL
"A. Pre_Cross_Sell",123627,0,0,NULL,NULL
"A. Pre_Cross_Sell",123640,1,0,NULL,NULL
"A. Pre_Cross_Sell",123642,1,0,NULL,NULL
"A. Pre_Cross_Sell",123645,0,0,NULL,NULL
"A. Pre_Cross_Sell",123651,1,0,NULL,NULL
"A. Pre_Cross_Sell",123653,1,1,1,49.99
"A. Pre_Cross_Sell",123673,1,1,1,59.99
"A. Pre_Cross_Sell",123676,1,1,1,59.99
"A. Pre_Cross_Sell",123680,0,0,NULL,NULL
"A. Pre_Cross_Sell",123690,1,0,NULL,NULL
"A. Pre_Cross_Sell",123692,1,0,NULL,NULL
"A. Pre_Cross_Sell",123701,1,0,NULL,NULL
"A. Pre_Cross_Sell",123707,0,0,NULL,NULL
"A. Pre_Cross_Sell",123713,1,0,NULL,NULL
"A. Pre_Cross_Sell",123725,0,0,NULL,NULL
"A. Pre_Cross_Sell",123729,1,0,NULL,NULL
"A. Pre_Cross_Sell",123755,0,0,NULL,NULL
"A. Pre_Cross_Sell",123758,0,0,NULL,NULL
"A. Pre_Cross_Sell",123759,1,1,1,49.99
"A. Pre_Cross_Sell",123760,1,1,1,49.99
"A. Pre_Cross_Sell",123769,1,0,NULL,NULL
"A. Pre_Cross_Sell",123772,1,0,NULL,NULL
"A. Pre_Cross_Sell",123780,1,0,NULL,NULL
"A. Pre_Cross_Sell",123782,1,1,1,49.99
"A. Pre_Cross_Sell",123784,0,0,NULL,NULL
"A. Pre_Cross_Sell",123795,0,0,NULL,NULL
"A. Pre_Cross_Sell",123802,0,0,NULL,NULL
"A. Pre_Cross_Sell",123806,0,0,NULL,NULL
"A. Pre_Cross_Sell",123813,0,0,NULL,NULL
"A. Pre_Cross_Sell",123814,0,0,NULL,NULL
"A. Pre_Cross_Sell",123819,0,0,NULL,NULL
"A. Pre_Cross_Sell",123827,1,1,1,49.99
"A. Pre_Cross_Sell",123832,1,0,NULL,NULL
"A. Pre_Cross_Sell",123834,1,0,NULL,NULL
"A. Pre_Cross_Sell",123837,1,1,1,49.99
"A. Pre_Cross_Sell",123838,1,0,NULL,NULL
"A. Pre_Cross_Sell",123840,0,0,NULL,NULL
"A. Pre_Cross_Sell",123841,1,1,1,59.99
"A. Pre_Cross_Sell",123851,1,1,1,49.99
"A. Pre_Cross_Sell",123854,0,0,NULL,NULL
"A. Pre_Cross_Sell",123863,0,0,NULL,NULL
"A. Pre_Cross_Sell",123868,1,1,1,59.99
"A. Pre_Cross_Sell",123874,1,0,NULL,NULL
"A. Pre_Cross_Sell",123878,1,1,1,49.99
"A. Pre_Cross_Sell",123879,1,0,NULL,NULL
"A. Pre_Cross_Sell",123891,1,0,NULL,NULL
"A. Pre_Cross_Sell",123895,1,0,NULL,NULL
"A. Pre_Cross_Sell",123897,1,0,NULL,NULL
"A. Pre_Cross_Sell",123900,0,0,NULL,NULL
"A. Pre_Cross_Sell",123901,0,0,NULL,NULL
"A. Pre_Cross_Sell",123906,0,0,NULL,NULL
"A. Pre_Cross_Sell",123910,1,0,NULL,NULL
"A. Pre_Cross_Sell",123914,0,0,NULL,NULL
"A. Pre_Cross_Sell",123917,1,0,NULL,NULL
"A. Pre_Cross_Sell",123920,1,1,1,59.99
"A. Pre_Cross_Sell",123921,1,1,1,49.99
"A. Pre_Cross_Sell",123938,1,0,NULL,NULL
"A. Pre_Cross_Sell",123939,1,1,1,49.99
"A. Pre_Cross_Sell",123940,1,1,1,49.99
"A. Pre_Cross_Sell",123941,0,0,NULL,NULL
"A. Pre_Cross_Sell",123945,0,0,NULL,NULL
"A. Pre_Cross_Sell",123953,0,0,NULL,NULL
"A. Pre_Cross_Sell",123958,1,0,NULL,NULL
"A. Pre_Cross_Sell",123963,1,1,1,49.99
"A. Pre_Cross_Sell",123965,0,0,NULL,NULL
"A. Pre_Cross_Sell",123971,1,0,NULL,NULL
"A. Pre_Cross_Sell",123992,0,0,NULL,NULL
"A. Pre_Cross_Sell",123995,0,0,NULL,NULL
"A. Pre_Cross_Sell",123999,0,0,NULL,NULL
"A. Pre_Cross_Sell",124001,1,1,1,59.99
"A. Pre_Cross_Sell",124005,1,0,NULL,NULL
"A. Pre_Cross_Sell",124006,0,0,NULL,NULL
"A. Pre_Cross_Sell",124013,1,1,1,49.99
"A. Pre_Cross_Sell",124014,0,0,NULL,NULL
"A. Pre_Cross_Sell",124015,0,0,NULL,NULL
"A. Pre_Cross_Sell",124019,1,0,NULL,NULL
"A. Pre_Cross_Sell",124022,0,0,NULL,NULL
"A. Pre_Cross_Sell",124027,1,0,NULL,NULL
"A. Pre_Cross_Sell",124031,0,0,NULL,NULL
"A. Pre_Cross_Sell",124032,1,1,1,49.99
"A. Pre_Cross_Sell",124038,1,0,NULL,NULL
"A. Pre_Cross_Sell",124040,1,1,1,49.99
"A. Pre_Cross_Sell",124044,1,1,1,59.99
"A. Pre_Cross_Sell",124047,0,0,NULL,NULL
"A. Pre_Cross_Sell",124049,1,0,NULL,NULL
"A. Pre_Cross_Sell",124052,1,0,NULL,NULL
"A. Pre_Cross_Sell",124054,0,0,NULL,NULL
"A. Pre_Cross_Sell",124075,1,1,1,49.99
"A. Pre_Cross_Sell",124078,1,1,1,49.99
"A. Pre_Cross_Sell",124081,0,0,NULL,NULL
"A. Pre_Cross_Sell",124086,1,0,NULL,NULL
"A. Pre_Cross_Sell",124093,1,0,NULL,NULL
"A. Pre_Cross_Sell",124097,1,1,1,49.99
"A. Pre_Cross_Sell",124098,1,0,NULL,NULL
"A. Pre_Cross_Sell",124101,1,0,NULL,NULL
"A. Pre_Cross_Sell",124102,1,1,1,49.99
"A. Pre_Cross_Sell",124106,1,1,1,49.99
"A. Pre_Cross_Sell",124112,1,0,NULL,NULL
"A. Pre_Cross_Sell",124113,1,0,NULL,NULL
"A. Pre_Cross_Sell",124114,0,0,NULL,NULL
"A. Pre_Cross_Sell",124121,0,0,NULL,NULL
"A. Pre_Cross_Sell",124122,1,1,1,49.99
"A. Pre_Cross_Sell",124125,1,0,NULL,NULL
"A. Pre_Cross_Sell",124126,0,0,NULL,NULL
"A. Pre_Cross_Sell",124128,1,1,1,49.99
"A. Pre_Cross_Sell",124135,0,0,NULL,NULL
"A. Pre_Cross_Sell",124138,1,0,NULL,NULL
"A. Pre_Cross_Sell",124140,1,1,1,49.99
"A. Pre_Cross_Sell",124143,1,0,NULL,NULL
"A. Pre_Cross_Sell",124152,0,0,NULL,NULL
"A. Pre_Cross_Sell",124158,0,0,NULL,NULL
"A. Pre_Cross_Sell",124162,1,0,NULL,NULL
"A. Pre_Cross_Sell",124174,1,0,NULL,NULL
"A. Pre_Cross_Sell",124177,0,0,NULL,NULL
"A. Pre_Cross_Sell",124186,1,1,1,49.99
"A. Pre_Cross_Sell",124190,1,0,NULL,NULL
"A. Pre_Cross_Sell",124199,1,0,NULL,NULL
"A. Pre_Cross_Sell",124200,0,0,NULL,NULL
"A. Pre_Cross_Sell",124213,0,0,NULL,NULL
"A. Pre_Cross_Sell",124215,0,0,NULL,NULL
"A. Pre_Cross_Sell",124217,1,0,NULL,NULL
"A. Pre_Cross_Sell",124218,1,1,1,49.99
"A. Pre_Cross_Sell",124228,1,0,NULL,NULL
"A. Pre_Cross_Sell",124231,0,0,NULL,NULL
"A. Pre_Cross_Sell",124234,1,1,1,49.99
"A. Pre_Cross_Sell",124256,1,1,1,49.99
"A. Pre_Cross_Sell",124258,1,0,NULL,NULL
"A. Pre_Cross_Sell",124274,1,0,NULL,NULL
"A. Pre_Cross_Sell",124293,1,0,NULL,NULL
"A. Pre_Cross_Sell",124298,0,0,NULL,NULL
"A. Pre_Cross_Sell",124302,1,1,1,49.99
"A. Pre_Cross_Sell",124307,1,1,1,49.99
"A. Pre_Cross_Sell",124311,1,1,1,49.99
"A. Pre_Cross_Sell",124312,1,0,NULL,NULL
"A. Pre_Cross_Sell",124314,1,1,1,49.99
"A. Pre_Cross_Sell",124315,0,0,NULL,NULL
"A. Pre_Cross_Sell",124331,1,0,NULL,NULL
"A. Pre_Cross_Sell",124339,1,1,1,49.99
"A. Pre_Cross_Sell",124344,1,0,NULL,NULL
"A. Pre_Cross_Sell",124347,0,0,NULL,NULL
"A. Pre_Cross_Sell",124348,1,1,1,49.99
"A. Pre_Cross_Sell",124350,0,0,NULL,NULL
"A. Pre_Cross_Sell",124355,0,0,NULL,NULL
"A. Pre_Cross_Sell",124359,1,0,NULL,NULL
"A. Pre_Cross_Sell",124360,0,0,NULL,NULL
"A. Pre_Cross_Sell",124362,1,1,1,49.99
"A. Pre_Cross_Sell",124370,1,1,1,49.99
"A. Pre_Cross_Sell",124373,1,0,NULL,NULL
"A. Pre_Cross_Sell",124386,1,0,NULL,NULL
"A. Pre_Cross_Sell",124398,1,1,1,49.99
"A. Pre_Cross_Sell",124399,1,1,1,49.99
"A. Pre_Cross_Sell",124401,1,0,NULL,NULL
"A. Pre_Cross_Sell",124407,1,0,NULL,NULL
"A. Pre_Cross_Sell",124408,0,0,NULL,NULL
"A. Pre_Cross_Sell",124415,1,1,1,49.99
"A. Pre_Cross_Sell",124422,1,0,NULL,NULL
"A. Pre_Cross_Sell",124427,1,1,1,49.99
"A. Pre_Cross_Sell",124434,0,0,NULL,NULL
"A. Pre_Cross_Sell",124435,0,0,NULL,NULL
"A. Pre_Cross_Sell",124439,1,0,NULL,NULL
"A. Pre_Cross_Sell",124441,1,0,NULL,NULL
"A. Pre_Cross_Sell",124446,1,0,NULL,NULL
"A. Pre_Cross_Sell",124450,1,0,NULL,NULL
"A. Pre_Cross_Sell",124451,1,1,1,49.99
"A. Pre_Cross_Sell",124469,0,0,NULL,NULL
"A. Pre_Cross_Sell",124472,0,0,NULL,NULL
"A. Pre_Cross_Sell",124480,0,0,NULL,NULL
"A. Pre_Cross_Sell",124496,0,0,NULL,NULL
"A. Pre_Cross_Sell",124500,1,0,NULL,NULL
"A. Pre_Cross_Sell",124507,1,0,NULL,NULL
"A. Pre_Cross_Sell",124512,1,1,1,49.99
"A. Pre_Cross_Sell",124520,1,0,NULL,NULL
"A. Pre_Cross_Sell",124521,1,1,1,49.99
"A. Pre_Cross_Sell",124523,1,0,NULL,NULL
"A. Pre_Cross_Sell",124526,1,1,1,59.99
"A. Pre_Cross_Sell",124530,1,1,1,49.99
"A. Pre_Cross_Sell",124537,0,0,NULL,NULL
"A. Pre_Cross_Sell",124540,0,0,NULL,NULL
"A. Pre_Cross_Sell",124553,1,0,NULL,NULL
"A. Pre_Cross_Sell",124556,1,1,1,49.99
"A. Pre_Cross_Sell",124557,0,0,NULL,NULL
"A. Pre_Cross_Sell",124562,1,0,NULL,NULL
"A. Pre_Cross_Sell",124571,1,1,1,59.99
"A. Pre_Cross_Sell",124574,0,0,NULL,NULL
"A. Pre_Cross_Sell",124576,0,0,NULL,NULL
"A. Pre_Cross_Sell",124594,1,1,1,49.99
"A. Pre_Cross_Sell",124595,0,0,NULL,NULL
"A. Pre_Cross_Sell",124602,1,1,1,49.99
"A. Pre_Cross_Sell",124603,1,1,1,49.99
"A. Pre_Cross_Sell",124604,1,1,1,49.99
"A. Pre_Cross_Sell",124607,1,1,1,49.99
"A. Pre_Cross_Sell",124611,1,1,1,49.99
"A. Pre_Cross_Sell",124612,0,0,NULL,NULL
"A. Pre_Cross_Sell",124613,1,1,1,49.99
"A. Pre_Cross_Sell",124614,0,0,NULL,NULL
"A. Pre_Cross_Sell",124621,0,0,NULL,NULL
"A. Pre_Cross_Sell",124623,0,0,NULL,NULL
"A. Pre_Cross_Sell",124631,0,0,NULL,NULL
"A. Pre_Cross_Sell",124638,1,1,1,49.99
"A. Pre_Cross_Sell",124639,0,0,NULL,NULL
"A. Pre_Cross_Sell",124640,1,1,1,49.99
"A. Pre_Cross_Sell",124643,1,1,1,49.99
"A. Pre_Cross_Sell",124644,1,0,NULL,NULL
"A. Pre_Cross_Sell",124649,1,1,1,49.99
"A. Pre_Cross_Sell",124655,0,0,NULL,NULL
"A. Pre_Cross_Sell",124664,1,0,NULL,NULL
"A. Pre_Cross_Sell",124673,1,1,1,49.99
"A. Pre_Cross_Sell",124683,1,1,1,49.99
"A. Pre_Cross_Sell",124686,0,0,NULL,NULL
"A. Pre_Cross_Sell",124688,1,0,NULL,NULL
"A. Pre_Cross_Sell",124691,0,0,NULL,NULL
"A. Pre_Cross_Sell",124692,1,1,1,49.99
"A. Pre_Cross_Sell",124694,1,0,NULL,NULL
"A. Pre_Cross_Sell",124697,1,0,NULL,NULL
"A. Pre_Cross_Sell",124706,1,1,1,49.99
"A. Pre_Cross_Sell",124711,1,1,1,49.99
"A. Pre_Cross_Sell",124723,0,0,NULL,NULL
"A. Pre_Cross_Sell",124736,0,0,NULL,NULL
"A. Pre_Cross_Sell",124738,1,1,1,59.99
"A. Pre_Cross_Sell",124746,0,0,NULL,NULL
"A. Pre_Cross_Sell",124749,1,0,NULL,NULL
"A. Pre_Cross_Sell",124751,1,1,1,49.99
"A. Pre_Cross_Sell",124756,1,1,1,59.99
"A. Pre_Cross_Sell",124770,1,0,NULL,NULL
"A. Pre_Cross_Sell",124773,0,0,NULL,NULL
"A. Pre_Cross_Sell",124778,0,0,NULL,NULL
"A. Pre_Cross_Sell",124779,0,0,NULL,NULL
"A. Pre_Cross_Sell",124781,1,1,1,49.99
"A. Pre_Cross_Sell",124793,1,1,1,59.99
"A. Pre_Cross_Sell",124794,1,0,NULL,NULL
"A. Pre_Cross_Sell",124800,0,0,NULL,NULL
"A. Pre_Cross_Sell",124801,1,0,NULL,NULL
"A. Pre_Cross_Sell",124803,1,0,NULL,NULL
"A. Pre_Cross_Sell",124813,0,0,NULL,NULL
"A. Pre_Cross_Sell",124817,1,0,NULL,NULL
"A. Pre_Cross_Sell",124829,1,1,1,49.99
"A. Pre_Cross_Sell",124843,1,1,1,49.99
"A. Pre_Cross_Sell",124871,0,0,NULL,NULL
"A. Pre_Cross_Sell",124876,1,1,1,49.99
"A. Pre_Cross_Sell",124877,1,0,NULL,NULL
"A. Pre_Cross_Sell",124882,1,1,1,49.99
"A. Pre_Cross_Sell",124895,1,1,1,49.99
"A. Pre_Cross_Sell",124899,1,1,1,49.99
"A. Pre_Cross_Sell",124906,1,0,NULL,NULL
"A. Pre_Cross_Sell",124910,1,1,1,49.99
"A. Pre_Cross_Sell",124912,1,0,NULL,NULL
"A. Pre_Cross_Sell",124914,1,1,1,49.99
"A. Pre_Cross_Sell",124917,1,0,NULL,NULL
"A. Pre_Cross_Sell",124922,1,0,NULL,NULL
"A. Pre_Cross_Sell",124933,1,1,1,49.99
"A. Pre_Cross_Sell",124936,0,0,NULL,NULL
"A. Pre_Cross_Sell",124939,1,0,NULL,NULL
"A. Pre_Cross_Sell",124953,1,1,1,49.99
"A. Pre_Cross_Sell",124961,0,0,NULL,NULL
"A. Pre_Cross_Sell",124969,0,0,NULL,NULL
"A. Pre_Cross_Sell",124973,0,0,NULL,NULL
"A. Pre_Cross_Sell",124990,0,0,NULL,NULL
"A. Pre_Cross_Sell",124991,1,0,NULL,NULL
"A. Pre_Cross_Sell",125006,1,0,NULL,NULL
"A. Pre_Cross_Sell",125007,0,0,NULL,NULL
"A. Pre_Cross_Sell",125009,1,0,NULL,NULL
"A. Pre_Cross_Sell",125017,0,0,NULL,NULL
"A. Pre_Cross_Sell",125020,1,0,NULL,NULL
"A. Pre_Cross_Sell",125025,0,0,NULL,NULL
"A. Pre_Cross_Sell",125041,1,1,1,49.99
"A. Pre_Cross_Sell",125044,0,0,NULL,NULL
"A. Pre_Cross_Sell",125049,1,1,1,49.99
"A. Pre_Cross_Sell",125056,1,0,NULL,NULL
"A. Pre_Cross_Sell",125060,1,0,NULL,NULL
"A. Pre_Cross_Sell",125067,1,0,NULL,NULL
"A. Pre_Cross_Sell",125074,1,0,NULL,NULL
"A. Pre_Cross_Sell",125076,1,0,NULL,NULL
"A. Pre_Cross_Sell",125088,1,1,1,49.99
"A. Pre_Cross_Sell",125090,1,1,1,49.99
"A. Pre_Cross_Sell",125097,1,1,1,49.99
"A. Pre_Cross_Sell",125118,0,0,NULL,NULL
"A. Pre_Cross_Sell",125129,1,1,1,49.99
"A. Pre_Cross_Sell",125134,1,0,NULL,NULL
"A. Pre_Cross_Sell",125142,1,1,1,49.99
"A. Pre_Cross_Sell",125150,1,1,1,49.99
"A. Pre_Cross_Sell",125153,1,0,NULL,NULL
"A. Pre_Cross_Sell",125154,0,0,NULL,NULL
"A. Pre_Cross_Sell",125161,1,1,1,49.99
"A. Pre_Cross_Sell",125171,1,1,1,49.99
"A. Pre_Cross_Sell",125178,1,0,NULL,NULL
"A. Pre_Cross_Sell",125181,1,1,1,49.99
"A. Pre_Cross_Sell",125187,0,0,NULL,NULL
"A. Pre_Cross_Sell",125190,0,0,NULL,NULL
"A. Pre_Cross_Sell",125191,1,1,1,59.99
"A. Pre_Cross_Sell",125192,1,1,1,49.99
"A. Pre_Cross_Sell",125207,1,1,1,49.99
"A. Pre_Cross_Sell",125210,0,0,NULL,NULL
"A. Pre_Cross_Sell",125218,0,0,NULL,NULL
"A. Pre_Cross_Sell",125232,1,1,1,49.99
"A. Pre_Cross_Sell",125241,1,0,NULL,NULL
"A. Pre_Cross_Sell",125242,1,1,1,49.99
"A. Pre_Cross_Sell",125243,1,0,NULL,NULL
"A. Pre_Cross_Sell",125253,0,0,NULL,NULL
"A. Pre_Cross_Sell",125258,0,0,NULL,NULL
"A. Pre_Cross_Sell",125260,1,0,NULL,NULL
"A. Pre_Cross_Sell",125264,1,1,1,49.99
"A. Pre_Cross_Sell",125275,1,1,1,49.99
"A. Pre_Cross_Sell",125291,0,0,NULL,NULL
"A. Pre_Cross_Sell",125292,1,1,1,49.99
"A. Pre_Cross_Sell",125300,1,1,1,49.99
"A. Pre_Cross_Sell",125303,1,1,1,49.99
"A. Pre_Cross_Sell",125329,1,0,NULL,NULL
"A. Pre_Cross_Sell",125337,1,0,NULL,NULL
"A. Pre_Cross_Sell",125342,0,0,NULL,NULL
"A. Pre_Cross_Sell",125343,1,0,NULL,NULL
"A. Pre_Cross_Sell",125345,1,0,NULL,NULL
"A. Pre_Cross_Sell",125350,1,0,NULL,NULL
"A. Pre_Cross_Sell",125354,1,0,NULL,NULL
"A. Pre_Cross_Sell",125358,0,0,NULL,NULL
"A. Pre_Cross_Sell",125362,1,0,NULL,NULL
"A. Pre_Cross_Sell",125378,1,1,1,49.99
"A. Pre_Cross_Sell",125389,1,1,1,49.99
"A. Pre_Cross_Sell",125390,1,0,NULL,NULL
"A. Pre_Cross_Sell",125395,1,0,NULL,NULL
"A. Pre_Cross_Sell",125400,1,1,1,49.99
"A. Pre_Cross_Sell",125408,1,1,1,49.99
"A. Pre_Cross_Sell",125409,1,1,1,49.99
"A. Pre_Cross_Sell",125414,1,0,NULL,NULL
"A. Pre_Cross_Sell",125416,1,1,1,49.99
"A. Pre_Cross_Sell",125417,1,0,NULL,NULL
"A. Pre_Cross_Sell",125421,0,0,NULL,NULL
