website_session_id,first_pageview_id,count_pageviews
9514,18956,7
9515,18958,1
9516,18962,1
9517,18965,1
9518,18966,1
9520,18968,6
9521,18970,2
9522,18977,1
9523,18978,2
9524,18980,3
9525,18983,1
9526,18984,3
9527,18987,1
9529,18989,5
9532,19000,1
9533,19001,3
9534,19004,3
9535,19007,1
9536,19008,1
9537,19009,1
9538,19010,1
9539,19011,3
9540,19014,1
9541,19015,1
9542,19016,1
9543,19017,1
9544,19018,2
9545,19019,6
9546,19024,6
9547,19032,7
9549,19039,1
9550,19042,1
9552,19044,3
9554,19050,1
9556,19057,1
9557,19058,2
9558,19059,1
9559,19061,1
9560,19062,1
9561,19063,1
9563,19071,1
9564,19072,3
9565,19075,1
9566,19076,1
9568,19078,7
9569,19081,1
9570,19086,1
9571,19087,1
9572,19088,1
9574,19091,6
9575,19097,1
9576,19098,1
9577,19099,2
9578,19101,1
9579,19102,1
9581,19107,3
9582,19108,3
9583,19111,1
9584,19114,1
9585,19115,3
9586,19117,1
9588,19120,2
9592,19135,7
9593,19137,4
9594,19146,2
9595,19148,1
9596,19149,1
9597,19150,1
9598,19151,3
9599,19154,3
9600,19157,2
9601,19158,2
9602,19161,6
9603,19167,1
9604,19168,1
9606,19170,1
9607,19172,1
9608,19173,1
9609,19174,4
9610,19178,1
9611,19179,4
9613,19186,1
9614,19187,1
9615,19188,1
9616,19189,1
9617,19190,7
9619,19198,2
9620,19200,1
9621,19201,2
9623,19204,1
9624,19205,2
9625,19207,1
9626,19208,1
9627,19209,3
9628,19210,5
9629,19211,1
9630,19214,4
9631,19222,1
9632,19223,6
9634,19230,1
9635,19231,2
9636,19232,1
9637,19234,1
9638,19235,1
9639,19236,4
9641,19242,1
9642,19243,1
9643,19244,6
9644,19245,1
9645,19249,1
9646,19250,1
9647,19253,6
9648,19254,6
9649,19257,6
9650,19270,3
9651,19274,1
9652,19275,1
9654,19279,1
9655,19280,1
9656,19281,1
9657,19282,1
9658,19283,1
9661,19288,2
9662,19290,4
9663,19294,1
9664,19295,5
9665,19297,6
9666,19299,1
9669,19311,6
9670,19312,6
9672,19317,1
9673,19319,1
9674,19324,3
9675,19327,1
9677,19332,3
9678,19334,4
9679,19338,1
9680,19340,1
9681,19342,1
9682,19343,1
9683,19344,3
9684,19347,1
9686,19349,1
9687,19350,3
9688,19353,3
9690,19357,1
9691,19359,1
9692,19360,4
9693,19365,1
9694,19366,1
9696,19368,1
9697,19371,1
9699,19373,1
9700,19374,1
9701,19375,1
9702,19376,1
9703,19377,3
9704,19378,1
9705,19379,1
9706,19382,1
9707,19383,1
9708,19384,1
9709,19385,2
9710,19387,4
9711,19388,1
9712,19389,6
9713,19390,1
9714,19396,3
9715,19402,1
9716,19403,1
9717,19404,1
9718,19405,1
9719,19406,6
9721,19414,2
9722,19418,1
9723,19419,1
9724,19420,3
9725,19421,1
9726,19423,1
9727,19425,2
9728,19427,1
9730,19432,1
9731,19433,6
9732,19434,3
9733,19442,1
9735,19444,7
9736,19448,4
9737,19450,1
9738,19456,1
9739,19457,1
9740,19458,4
9741,19461,1
9742,19463,1
9743,19464,2
9744,19465,1
9746,19468,1
9747,19469,1
9748,19470,3
9749,19472,3
9750,19476,1
9751,19477,1
9753,19479,1
9754,19480,1
9755,19481,1
9756,19482,1
9757,19483,1
9758,19484,3
9759,19487,1
9760,19488,3
9761,19490,6
9762,19492,1
9763,19494,1
9765,19501,7
9766,19508,3
9767,19511,6
9768,19515,2
9769,19518,7
9771,19529,1
9772,19530,4
9773,19534,1
9774,19535,1
9775,19536,2
9776,19538,1
9777,19539,1
9779,19541,7
9780,19547,1
9781,19549,1
9782,19550,1
9783,19551,1
9784,19552,2
9785,19554,2
9786,19556,1
9787,19557,1
9788,19558,3
9789,19561,1
9790,19562,1
9791,19563,1
9792,19564,1
9793,19565,2
9794,19567,4
9796,19572,1
9797,19573,1
9798,19574,1
9799,19575,1
9800,19576,1
9801,19577,1
9802,19578,2
9803,19580,1
9804,19581,3
9805,19582,1
9806,19583,3
9807,19584,3
9808,19586,1
9809,19588,1
9810,19593,3
9812,19602,1
9813,19603,3
9814,19605,1
9816,19608,1
9818,19611,1
9819,19612,7
9820,19615,3
9821,19622,4
9822,19623,1
9823,19624,3
9826,19634,1
9827,19635,1
9828,19636,1
9829,19637,6
9830,19638,6
9831,19639,2
9833,19652,3
9834,19653,3
9835,19654,1
9836,19659,1
9837,19660,2
9839,19663,4
9841,19667,3
9842,19673,1
9845,19676,3
9846,19678,1
9847,19681,1
9848,19682,1
9849,19683,7
9850,19684,1
9851,19687,1
9852,19692,3
9853,19693,3
9854,19698,1
9855,19699,1
9857,19703,6
9858,19704,3
9859,19712,1
9860,19713,1
9861,19714,1
9862,19715,1
9863,19716,2
9864,19717,1
9865,19719,6
9866,19724,1
9867,19726,1
9868,19727,2
9869,19729,1
9870,19730,1
9871,19731,1
9873,19734,1
9874,19735,3
9875,19738,2
9877,19742,1
9879,19744,3
9880,19746,1
9881,19748,6
9882,19754,1
9883,19757,2
9884,19760,4
9885,19765,1
9886,19766,1
9887,19767,1
9888,19768,6
9889,19770,1
9890,19775,2
9891,19776,1
9893,19779,1
9894,19783,1
9895,19784,2
9897,19788,6
9898,19794,2
9900,19798,3
9901,19801,2
9903,19804,6
9904,19810,1
9905,19811,2
9906,19813,1
9907,19814,3
9908,19817,1
9909,19818,1
9910,19819,3
9911,19822,1
9913,19827,1
9914,19828,3
9915,19831,7
9916,19838,6
9917,19844,3
9918,19845,1
9919,19848,4
9921,19853,1
9922,19854,3
9923,19857,1
9924,19858,2
9925,19860,1
9926,19861,1
9928,19865,1
9929,19866,1
9930,19867,3
9931,19870,1
9932,19871,7
9933,19876,3
9934,19881,1
9935,19882,1
9936,19883,1
9937,19884,1
9941,19889,1
9942,19890,7
9943,19897,1
9944,19898,1
9945,19900,4
9946,19904,1
9947,19905,1
9948,19906,6
9951,19917,2
9952,19921,1
9953,19922,3
9954,19925,7
9955,19926,3
9956,19930,1
9957,19935,2
9958,19936,1
9959,19939,6
9960,19940,1
9961,19945,6
9962,19952,1
9963,19953,2
9964,19955,1
9967,19960,1
9968,19961,3
9969,19962,1
9971,19964,3
9972,19965,1
9973,19966,4
9974,19969,1
9975,19970,2
9977,19974,1
9978,19981,1
9979,19983,2
9980,19984,1
9981,19986,1
9982,19987,1
9983,19988,1
9984,19989,1
9985,19990,1
9986,19991,3
9987,19992,1
9988,19995,1
9989,19996,7
9990,19998,1
9992,20004,6
9993,20011,3
9994,20012,3
9995,20013,1
9996,20018,1
9997,20019,1
9998,20020,1
9999,20021,1
10000,20022,1
10001,20023,2
10002,20024,1
10003,20026,5
10004,20028,1
10005,20029,1
10007,20032,6
10008,20041,1
10009,20042,1
10010,20043,1
10011,20044,2
10014,20052,1
10015,20053,1
10016,20054,3
10017,20057,3
10018,20058,1
10019,20061,1
10020,20062,7
10021,20068,6
10022,20069,1
10023,20070,4
10024,20073,1
10025,20075,1
10026,20082,1
10027,20083,1
10028,20084,1
10029,20085,3
10030,20086,1
10031,20088,1
10032,20090,3
10033,20092,7
10034,20097,1
10035,20098,1
10036,20100,2
10037,20102,1
10038,20105,1
10039,20106,1
10040,20107,2
10041,20109,7
10042,20112,1
10043,20114,2
10044,20119,5
10045,20124,6
10046,20125,1
10047,20129,1
10048,20130,1
10049,20133,1
10050,20134,3
10052,20139,1
10054,20141,1
10055,20142,1
10056,20145,2
10059,20149,3
10060,20152,1
10061,20153,1
10062,20154,1
10063,20155,1
10064,20156,1
10065,20157,1
10066,20158,1
10067,20159,3
10068,20160,1
10069,20163,2
10070,20164,1
10071,20166,3
10073,20172,1
10074,20173,2
10076,20176,1
10077,20177,1
10078,20178,3
10079,20181,3
10080,20182,1
10081,20184,1
10082,20186,1
10083,20187,3
10084,20190,1
10085,20191,1
10086,20192,1
10087,20193,4
10088,20194,4
10091,20204,1
10092,20205,1
10095,20213,2
10096,20215,1
10097,20216,1
10098,20217,1
10099,20218,1
10100,20219,1
10101,20220,3
10102,20221,6
10103,20223,1
10104,20226,3
10105,20231,7
10106,20234,2
10107,20242,1
10108,20243,1
10109,20244,1
10110,20245,1
10111,20246,1
10112,20247,1
10113,20248,2
10114,20250,1
10115,20251,2
10116,20252,6
10117,20255,2
10118,20261,1
10119,20262,2
10120,20264,1
10122,20266,7
10123,20268,1
10124,20269,1
10125,20270,2
10127,20280,4
10128,20282,3
10129,20285,3
10130,20290,1
10131,20291,1
10132,20292,1
10133,20293,1
10134,20294,1
10135,20295,1
10136,20296,3
10137,20299,3
10138,20301,3
10139,20305,1
10140,20306,3
10141,20307,1
10142,20309,1
10143,20311,1
10144,20312,1
10145,20313,6
10146,20314,1
10147,20315,1
10148,20317,1
10149,20318,3
10150,20319,4
10151,20321,7
10152,20332,3
10153,20335,2
10154,20341,1
10155,20342,1
10157,20345,3
10159,20349,1
10160,20350,1
10162,20352,1
10163,20353,1
10164,20355,1
10165,20357,3
10166,20358,1
10167,20359,7
10168,20362,1
10169,20364,1
10170,20365,1
10172,20371,3
10173,20376,1
10174,20378,1
10175,20379,2
10176,20381,1
10177,20382,7
10178,20383,3
10179,20392,1
10181,20395,3
10182,20398,3
10183,20401,6
10184,20404,1
10185,20406,6
10186,20412,2
10187,20414,1
10188,20415,1
10189,20417,1
10190,20419,1
10191,20420,1
10192,20421,2
10193,20422,1
10194,20424,4
10195,20428,2
10196,20429,1
10197,20431,1
10198,20432,1
10199,20433,1
10200,20434,1
10201,20435,1
10202,20436,1
10203,20437,6
10204,20440,1
10207,20449,1
10208,20450,1
10209,20451,3
10210,20454,1
10211,20455,2
10212,20457,1
10214,20459,4
10215,20464,2
10216,20466,1
10217,20467,1
10218,20468,1
10219,20469,1
10220,20470,1
10221,20471,3
10222,20472,6
10223,20475,1
10225,20482,1
10226,20483,2
10227,20485,4
10228,20486,1
10229,20487,1
10230,20489,6
10231,20493,2
10232,20497,1
10233,20498,1
10234,20500,1
10235,20501,2
10236,20504,1
10237,20505,3
10238,20508,1
10239,20509,2
10240,20511,1
10241,20512,1
10242,20513,2
10244,20519,7
10245,20521,1
10246,20527,1
10247,20528,3
10248,20531,3
10249,20532,1
10251,20538,1
10252,20539,1
10254,20542,1
10255,20543,1
10256,20544,1
10257,20545,1
10258,20546,3
10260,20550,1
10261,20551,1
10262,20552,1
10263,20553,1
10264,20554,1
10265,20555,7
10266,20562,1
10267,20563,1
10268,20564,4
10270,20571,6
10271,20581,6
10272,20586,1
10273,20588,1
10274,20589,3
10275,20592,3
10276,20595,1
10279,20602,3
10280,20607,1
10281,20608,1
10282,20609,1
10283,20610,2
10285,20615,1
10286,20616,3
10287,20619,1
10288,20620,3
10289,20621,1
10290,20622,1
10291,20624,7
10292,20626,1
10293,20627,2
10295,20636,1
10296,20639,1
10297,20640,2
10298,20642,1
10299,20643,6
10300,20644,7
10301,20647,3
10302,20658,2
10303,20661,2
10304,20663,1
10305,20664,1
10306,20665,1
10307,20666,3
10308,20667,1
10309,20668,2
10310,20669,1
10311,20673,1
10312,20674,1
10313,20675,1
10314,20676,1
10315,20677,1
10316,20678,1
10317,20679,1
10318,20680,1
10320,20682,6
10321,20685,2
10322,20687,3
10323,20691,4
10326,20705,2
10327,20710,1
10328,20711,1
10329,20712,1
10330,20713,1
10331,20714,1
10332,20715,1
10333,20716,1
10334,20717,3
10335,20720,7
10336,20721,1
10337,20728,1
10338,20729,1
10339,20730,2
10340,20732,1
10341,20733,2
10342,20735,1
10343,20736,1
10344,20737,1
10346,20744,2
10347,20745,1
10348,20747,2
10349,20749,2
10350,20750,1
10351,20752,1
10352,20753,1
10353,20754,3
10354,20757,3
10355,20758,1
10356,20760,3
10357,20764,3
10360,20772,3
10361,20777,1
10362,20778,3
10364,20782,1
10365,20784,1
10366,20786,3
10367,20787,1
10368,20789,3
10369,20790,1
10370,20792,2
10371,20796,1
10372,20797,6
10373,20799,1
10374,20803,5
10377,20818,4
10378,20822,2
10379,20824,3
10380,20826,3
10381,20828,2
10382,20832,3
10383,20833,3
10384,20838,1
10386,20840,2
10388,20845,1
10389,20848,1
10390,20849,5
10391,20851,3
10392,20857,1
10393,20858,2
10394,20860,1
10395,20861,1
10397,20865,1
10399,20869,1
10400,20870,1
10401,20871,1
10403,20874,1
10405,20878,1
10406,20879,3
10407,20881,4
10408,20884,1
10409,20887,3
10410,20889,3
10411,20893,7
10412,20896,4
10413,20904,1
10414,20905,1
10415,20906,1
10416,20907,1
10418,20911,3
10419,20914,4
10420,20918,4
10421,20922,3
10422,20924,1
10423,20926,3
10426,20931,2
10427,20934,1
10428,20936,5
10429,20941,1
10430,20942,1
10431,20943,3
10432,20946,3
10433,20949,1
10434,20950,2
10435,20952,3
10436,20954,3
10437,20958,1
10438,20959,1
10439,20960,1
10440,20961,1
10442,20963,7
10443,20970,1
10444,20971,3
10445,20974,1
10446,20975,3
10447,20977,3
10448,20981,1
10452,20989,3
10453,20990,2
10456,20998,2
10457,21003,1
10458,21004,1
10459,21005,1
10460,21006,1
10462,21009,3
10463,21012,1
10466,21017,1
10467,21019,1
10468,21020,7
10469,21023,1
10470,21028,2
10471,21030,3
10472,21031,1
10473,21034,1
10474,21035,1
10475,21036,3
10477,21040,1
10478,21041,1
10479,21042,1
10480,21043,1
10481,21044,1
10483,21046,3
10484,21049,1
10485,21050,1
10486,21051,2
10487,21053,1
10489,21058,1
10490,21059,1
10491,21060,1
10492,21061,1
10493,21062,1
10494,21063,1
10495,21064,4
10496,21068,1
10497,21069,4
10498,21073,3
10499,21076,4
10500,21079,1
10501,21081,3
10502,21084,2
10504,21089,1
10505,21090,1
10506,21091,1
10507,21092,1
10508,21093,1
10509,21094,2
10510,21096,1
10511,21097,3
10512,21100,3
10513,21103,1
10514,21104,3
10515,21107,1
10516,21108,2
10517,21110,7
10518,21117,7
10519,21124,1
10520,21125,1
10522,21127,1
10523,21128,1
10524,21129,5
10525,21134,1
10527,21140,1
10528,21143,1
10529,21144,1
10530,21145,1
10531,21146,4
10532,21147,1
10533,21151,2
10534,21153,1
10535,21154,6
10536,21160,1
10537,21161,1
10538,21162,1
10540,21165,1
10541,21166,1
10542,21167,1
10544,21169,3
10545,21172,3
10547,21176,1
10548,21179,1
10550,21181,1
10551,21182,1
10552,21183,3
10553,21186,1
10554,21187,2
10555,21189,1
10556,21190,1
10557,21191,1
10558,21192,3
10559,21193,1
10560,21194,3
10562,21200,1
10563,21201,1
10564,21202,1
10565,21203,1
10566,21204,3
10567,21207,1
10568,21208,3
10569,21210,3
10571,21212,1
10572,21219,1
10573,21220,1
10574,21221,1
10575,21222,7
10576,21224,1
10577,21226,6
10579,21234,1
10580,21235,1
10581,21239,3
10582,21242,1
10583,21243,3
10584,21246,1
10585,21247,1
10586,21248,1
10587,21249,1
10588,21250,1
10589,21251,3
10590,21254,1
10592,21256,2
10593,21257,2
10594,21258,1
10595,21260,2
10597,21267,1
10598,21268,1
10600,21270,7
10601,21281,1
10602,21282,3
10604,21285,1
10606,21292,1
10607,21295,1
10608,21297,2
10609,21300,1
10610,21301,1
10611,21302,1
10612,21304,1
10613,21305,1
10614,21306,1
10615,21307,1
10616,21308,2
10617,21309,3
10618,21313,1
10619,21314,1
10620,21315,1
10621,21316,2
10622,21318,1
10623,21319,1
10624,21320,1
10625,21321,3
10626,21322,1
10627,21325,3
10629,21329,2
10630,21330,5
10631,21336,1
10632,21337,1
10633,21338,1
10634,21339,1
10635,21340,1
10636,21341,1
10638,21344,1
10639,21346,1
10640,21347,1
10641,21348,3
10642,21350,1
10643,21352,1
10644,21353,2
10645,21355,2
10646,21356,2
10647,21358,3
10648,21361,3
10650,21366,2
10651,21369,6
10652,21374,3
10653,21379,2
10654,21381,1
10655,21382,1
10656,21383,2
10657,21385,1
10658,21386,1
10659,21387,3
10661,21391,3
10662,21394,1
10663,21395,1
10664,21396,1
10665,21397,1
10666,21398,1
10667,21399,1
10668,21400,1
10669,21401,5
10670,21405,1
10671,21406,4
10672,21410,1
10673,21412,1
10675,21414,1
10676,21418,1
10677,21422,1
10678,21423,1
10679,21424,3
10680,21425,1
10681,21428,6
10682,21429,3
10683,21430,1
10684,21431,1
10685,21439,1
10686,21440,2
10687,21442,1
10689,21444,1
10690,21446,1
10691,21447,4
10692,21448,6
10693,21456,1
10694,21458,1
10695,21459,3
10696,21460,1
10697,21463,1
10698,21464,1
10699,21465,1
10700,21466,1
10701,21467,1
10702,21468,1
10703,21469,1
10704,21470,1
10705,21471,3
10706,21473,1
10707,21475,1
10708,21476,1
10709,21477,3
10710,21480,1
10711,21481,1
10712,21482,3
10713,21485,1
10715,21488,3
10717,21493,1
10718,21494,6
10719,21495,7
10720,21496,1
10721,21508,7
10723,21516,1
10724,21517,1
10725,21518,1
10726,21519,1
10727,21520,4
10728,21524,1
10729,21525,1
10730,21526,6
10731,21529,1
10732,21530,1
10733,21534,1
10735,21536,1
10736,21537,3
10737,21540,3
10738,21542,1
10739,21544,1
10740,21545,1
10741,21546,4
10743,21551,1
10744,21552,2
10746,21555,1
10748,21561,1
10749,21563,1
10750,21564,2
10751,21566,6
10752,21568,7
10753,21570,1
10754,21577,1
10755,21578,1
10756,21579,3
10758,21586,1
10759,21587,1
10760,21588,1
10761,21590,3
10762,21591,1
10763,21594,1
10764,21595,1
10765,21596,3
10766,21597,1
10767,21600,3
10768,21603,1
10769,21604,1
10771,21607,1
10772,21608,5
10773,21612,1
10774,21614,4
10775,21616,3
10776,21618,1
10777,21621,1
10778,21622,3
10779,21624,1
10781,21629,1
10784,21638,1
10785,21639,1
10787,21642,7
10789,21645,2
10790,21648,2
10791,21654,1
10792,21656,3
10793,21658,3
10794,21659,1
10795,21663,1
10797,21668,1
10798,21670,2
10799,21672,3
10801,21676,1
10802,21677,2
10803,21678,1
10804,21680,1
10805,21681,2
10806,21682,1
10807,21684,1
10809,21686,2
10810,21687,3
10811,21691,1
10812,21692,1
10813,21693,2
10814,21695,1
10815,21696,3
10816,21698,1
10817,21700,1
10818,21701,1
10819,21702,1
10820,21703,1
10821,21704,1
10822,21705,1
10823,21706,1
10824,21707,3
10825,21709,2
10826,21711,1
10827,21713,1
10828,21714,6
10829,21718,2
10830,21722,3
10831,21724,1
10833,21727,1
10834,21728,1
10835,21729,1
10836,21730,1
10837,21731,7
10838,21734,1
10840,21740,1
10841,21741,2
10842,21742,1
10843,21744,6
10844,21750,1
10845,21751,3
10846,21754,1
10847,21755,1
10848,21756,1
10849,21757,6
10850,21761,1
10851,21762,1
10852,21765,1
10853,21766,3
10854,21769,3
10855,21772,6
10857,21774,1
10858,21779,1
10859,21782,6
10861,21791,1
10862,21792,1
10863,21793,1
10865,21800,3
10867,21805,1
10868,21808,1
10869,21809,1
10870,21810,2
10871,21812,4
10872,21813,4
10873,21820,1
10874,21821,1
10875,21822,1
10876,21823,1
10877,21824,1
10878,21825,3
10879,21826,2
10880,21830,4
10881,21834,1
10882,21835,6
10883,21837,1
10884,21839,1
10885,21843,3
10886,21846,7
10887,21852,4
10888,21857,2
10889,21859,2
10890,21860,1
10891,21861,1
10892,21863,2
10893,21865,1
10894,21866,4
10895,21867,2
10896,21872,2
10897,21874,1
10898,21875,1
10899,21876,5
10900,21879,2
10901,21883,1
10902,21884,1
10904,21886,1
10905,21887,1
10906,21888,3
10907,21891,1
10908,21892,2
10909,21894,1
10910,21895,1
10911,21896,3
10912,21897,2
10914,21904,3
10915,21905,3
10916,21906,2
10917,21909,1
10918,21913,7
10919,21915,2
10920,21919,3
10921,21923,1
10922,21926,7
10923,21927,3
10925,21935,2
10926,21939,7
10927,21940,7
10928,21947,1
10929,21948,3
10930,21951,1
10931,21953,5
10932,21954,1
10933,21957,2
10934,21966,2
10935,21967,1
10936,21969,1
10938,21972,1
10940,21978,1
10941,21979,3
10942,21981,1
10943,21985,3
10944,21986,1
10945,21988,4
10946,21992,7
10947,21994,1
10948,21996,6
10949,22005,2
10950,22008,1
10951,22010,3
10952,22011,1
10953,22013,1
10954,22015,1
10956,22018,1
10957,22019,1
10958,22020,1
10959,22021,1
10960,22022,1
10961,22023,2
10962,22024,1
10963,22026,5
10964,22027,1
10965,22031,3
10966,22033,1
10967,22036,1
10968,22037,4
10969,22038,1
10970,22039,1
10972,22050,1
10973,22051,2
10975,22054,4
10977,22062,1
10978,22063,1
10979,22064,1
10980,22065,1
10982,22067,2
10983,22073,1
10984,22075,1
10985,22076,7
10986,22077,1
10987,22080,2
10988,22083,1
10989,22084,1
10990,22088,3
10991,22089,1
10992,22090,1
10993,22092,2
10994,22095,1
10995,22096,3
10996,22099,1
10997,22100,1
10999,22102,3
11000,22103,1
11001,22106,1
11002,22107,1
11003,22108,1
11005,22110,6
11006,22114,1
11008,22120,1
11009,22127,1
11010,22128,1
11011,22129,1
11012,22130,1
11013,22131,1
11014,22132,1
11015,22133,2
11017,22138,1
11018,22139,6
11019,22143,1
11020,22146,1
11021,22147,1
11022,22148,1
11023,22149,1
11024,22150,4
11025,22153,1
11026,22155,3
11027,22158,1
11028,22159,3
11029,22160,3
11030,22165,1
11031,22166,1
11032,22167,1
11033,22168,2
11035,22173,1
11036,22176,1
11037,22177,3
11038,22178,4
11039,22181,1
11040,22185,6
11041,22191,1
11042,22192,4
11043,22195,2
11044,22198,1
11045,22199,6
11046,22202,1
11047,22206,1
11048,22207,3
11049,22210,1
11051,22212,1
11053,22217,3
11054,22220,2
11055,22221,2
11056,22224,2
11057,22225,6
11058,22229,6
11060,22239,1
11062,22242,1
11063,22243,1
11064,22244,6
11065,22250,1
11066,22251,1
11067,22252,1
11068,22253,1
11070,22255,3
11071,22257,1
11073,22262,3
11074,22264,4
11077,22275,1
11078,22276,1
11079,22277,1
11080,22278,1
11081,22279,2
11082,22281,1
11083,22282,1
11084,22283,3
11086,22287,3
11088,22291,1
11089,22292,1
11090,22293,1
11092,22295,1
11093,22297,2
11094,22300,1
11095,22301,3
11096,22304,1
11097,22305,2
11098,22307,2
11099,22308,5
11100,22312,1
11102,22316,1
11103,22317,1
11104,22318,1
11105,22319,1
11106,22320,1
11107,22321,1
11108,22322,1
11109,22323,1
11110,22324,4
11111,22325,5
11112,22333,1
11113,22334,1
11114,22335,2
11116,22338,1
11117,22339,1
11118,22340,1
11119,22341,1
11120,22342,2
11121,22344,1
11122,22345,4
11123,22346,3
11124,22347,1
11126,22354,5
11127,22357,2
11128,22361,1
11129,22362,2
11130,22363,3
11131,22365,1
11132,22367,3
11133,22368,1
11134,22370,2
11135,22372,3
11136,22376,1
11137,22378,6
11138,22384,2
11139,22386,1
11141,22388,1
11142,22389,5
11143,22390,1
11144,22392,1
11145,22394,1
11146,22397,1
11147,22398,1
11148,22399,3
11149,22402,2
11150,22404,1
11152,22406,1
11153,22408,1
11154,22413,7
11155,22415,1
11156,22416,1
11157,22417,2
11158,22419,1
11159,22424,1
11160,22426,3
11161,22427,3
11162,22430,1
11163,22432,1
11164,22434,1
11167,22441,6
11168,22444,1
11169,22446,1
11170,22451,3
11171,22455,2
11172,22456,2
11174,22461,2
11175,22462,1
11176,22464,1
11177,22465,3
11178,22467,1
11179,22469,1
11180,22470,2
11181,22471,1
11182,22473,2
11183,22474,1
11185,22477,1
11186,22478,1
11187,22479,2
11188,22481,1
11189,22482,1
11190,22483,3
11196,22499,2
11198,22502,3
11199,22505,1
11200,22506,3
11201,22507,1
11204,22513,1
11206,22515,1
11207,22516,2
11208,22518,1
11209,22519,1
11210,22520,1
11211,22521,1
11212,22522,1
11213,22523,3
11214,22524,1
11215,22527,1
11216,22528,1
11217,22529,1
11218,22530,1
11220,22533,1
11221,22535,2
11222,22536,1
11223,22537,3
11224,22539,3
11225,22547,1
11226,22548,1
11227,22549,2
11228,22550,3
11229,22554,3
11230,22557,1
11231,22558,2
11232,22560,3
11233,22563,3
11234,22566,1
11235,22567,2
11236,22569,1
11237,22570,1
11238,22571,3
11239,22574,1
11241,22576,4
11242,22580,4
11243,22584,3
11244,22585,1
11245,22588,1
11246,22589,1
11247,22590,1
11249,22592,1
11250,22593,2
11251,22595,3
11252,22598,1
11253,22599,1
11254,22600,2
11256,22604,1
11257,22605,1
11259,22607,1
11260,22608,3
11261,22611,2
11263,22615,1
11264,22616,4
11265,22620,1
11266,22621,6
11267,22623,1
11271,22632,2
11272,22634,1
11273,22635,1
11274,22636,1
11275,22637,1
11276,22638,1
11277,22639,1
11278,22640,1
11279,22641,4
11280,22645,3
11281,22648,3
11282,22651,4
11283,22655,1
11285,22658,2
11286,22661,1
11287,22662,1
11289,22664,1
11290,22668,1
11291,22671,6
11292,22672,1
11293,22673,1
11294,22676,4
11295,22678,3
11296,22681,2
11297,22686,5
11298,22692,3
11299,22696,1
11300,22697,1
11301,22698,1
11302,22699,1
11303,22700,1
11304,22701,1
11306,22703,1
11308,22708,1
11309,22709,1
11311,22712,3
11312,22713,1
11313,22714,1
11314,22717,2
11315,22718,1
11317,22724,1
11318,22725,3
11319,22726,3
11320,22728,3
11321,22733,3
11323,22738,4
11324,22741,1
11325,22746,6
11326,22747,1
11327,22752,1
11328,22754,1
11329,22757,1
11330,22759,1
11331,22760,6
11332,22764,1
11333,22766,1
11334,22768,1
11335,22769,1
11337,22771,1
11338,22772,1
11339,22773,1
11340,22774,2
11341,22776,1
11342,22777,2
11343,22778,2
11344,22781,1
11345,22782,6
11346,22783,1
11347,22788,1
11348,22789,6
11349,22792,1
11350,22797,1
11351,22798,1
11352,22799,1
11353,22800,1
11354,22801,1
