website_session_id,product_seen,cart_made_it,shipping_made_it,billing_made_it,thankyou_made_it
63759,mrfuzzy,0,0,0,0
63762,mrfuzzy,0,0,0,0
63765,mrfuzzy,1,1,1,1
63767,lovebear,1,1,1,0
63773,mrfuzzy,0,0,0,0
63774,mrfuzzy,1,0,0,0
63776,mrfuzzy,1,0,0,0
63779,mrfuzzy,0,0,0,0
63782,mrfuzzy,0,0,0,0
63793,lovebear,0,0,0,0
63795,mrfuzzy,1,1,1,1
63811,mrfuzzy,0,0,0,0
63814,mrfuzzy,0,0,0,0
63818,mrfuzzy,1,1,1,1
63822,mrfuzzy,1,1,1,0
63826,mrfuzzy,0,0,0,0
63829,mrfuzzy,0,0,0,0
63827,mrfuzzy,0,0,0,0
63831,mrfuzzy,0,0,0,0
63832,mrfuzzy,1,1,1,1
63835,mrfuzzy,1,1,0,0
63836,mrfuzzy,0,0,0,0
63838,mrfuzzy,0,0,0,0
63841,mrfuzzy,0,0,0,0
63848,mrfuzzy,1,1,1,1
63849,mrfuzzy,1,1,1,1
63852,mrfuzzy,0,0,0,0
63853,mrfuzzy,0,0,0,0
63855,mrfuzzy,1,1,1,0
63856,lovebear,0,0,0,0
63857,mrfuzzy,0,0,0,0
63858,mrfuzzy,0,0,0,0
63859,mrfuzzy,0,0,0,0
63860,mrfuzzy,1,1,1,1
63862,mrfuzzy,0,0,0,0
63863,mrfuzzy,1,1,1,1
63866,mrfuzzy,1,1,1,1
63868,mrfuzzy,0,0,0,0
63870,mrfuzzy,1,0,0,0
63871,mrfuzzy,0,0,0,0
63874,mrfuzzy,0,0,0,0
63875,mrfuzzy,0,0,0,0
63880,lovebear,0,0,0,0
63882,mrfuzzy,0,0,0,0
63886,mrfuzzy,1,1,1,1
63889,lovebear,0,0,0,0
63898,mrfuzzy,1,0,0,0
63900,mrfuzzy,1,1,0,0
63908,mrfuzzy,1,1,1,0
63909,mrfuzzy,1,0,0,0
63910,lovebear,0,0,0,0
63917,lovebear,0,0,0,0
63918,mrfuzzy,1,0,0,0
63919,mrfuzzy,0,0,0,0
63921,lovebear,1,1,1,0
63922,lovebear,0,0,0,0
63927,mrfuzzy,0,0,0,0
63928,mrfuzzy,0,0,0,0
63929,mrfuzzy,0,0,0,0
63931,mrfuzzy,1,1,1,0
63932,mrfuzzy,0,0,0,0
63934,mrfuzzy,1,1,1,1
63935,lovebear,0,0,0,0
63937,mrfuzzy,1,1,1,1
63938,lovebear,1,1,0,0
63939,mrfuzzy,1,1,1,1
63941,mrfuzzy,0,0,0,0
63942,lovebear,0,0,0,0
63943,mrfuzzy,0,0,0,0
63947,mrfuzzy,0,0,0,0
63952,mrfuzzy,0,0,0,0
63956,mrfuzzy,1,1,1,1
63958,mrfuzzy,0,0,0,0
63962,mrfuzzy,0,0,0,0
63964,mrfuzzy,1,1,1,1
63967,lovebear,0,0,0,0
63966,mrfuzzy,0,0,0,0
63968,mrfuzzy,0,0,0,0
63970,mrfuzzy,0,0,0,0
63974,mrfuzzy,0,0,0,0
63975,mrfuzzy,0,0,0,0
63978,mrfuzzy,1,1,0,0
63981,mrfuzzy,0,0,0,0
63980,mrfuzzy,1,0,0,0
63984,mrfuzzy,1,1,1,0
63982,mrfuzzy,1,0,0,0
63987,mrfuzzy,0,0,0,0
63986,mrfuzzy,1,1,0,0
63989,mrfuzzy,1,0,0,0
63991,mrfuzzy,0,0,0,0
63993,mrfuzzy,0,0,0,0
63998,mrfuzzy,1,1,1,1
64001,mrfuzzy,0,0,0,0
64002,mrfuzzy,0,0,0,0
64003,mrfuzzy,1,1,1,1
64005,mrfuzzy,1,0,0,0
64006,mrfuzzy,1,0,0,0
64007,mrfuzzy,1,1,1,1
64014,mrfuzzy,1,0,0,0
64011,lovebear,1,1,1,1
64015,lovebear,1,1,1,1
64020,mrfuzzy,1,1,0,0
64019,mrfuzzy,0,0,0,0
64021,mrfuzzy,0,0,0,0
64022,mrfuzzy,1,1,1,1
64025,mrfuzzy,0,0,0,0
64027,mrfuzzy,1,1,1,1
64026,mrfuzzy,0,0,0,0
64029,mrfuzzy,1,1,1,1
64028,mrfuzzy,0,0,0,0
64031,mrfuzzy,1,1,1,0
64030,mrfuzzy,1,1,0,0
64032,mrfuzzy,1,1,1,1
64033,mrfuzzy,1,1,0,0
64036,lovebear,1,0,0,0
64035,mrfuzzy,0,0,0,0
64039,mrfuzzy,0,0,0,0
64044,mrfuzzy,0,0,0,0
64045,mrfuzzy,0,0,0,0
64057,lovebear,1,1,1,1
64056,mrfuzzy,0,0,0,0
64058,mrfuzzy,1,0,0,0
64063,mrfuzzy,1,1,1,1
64064,mrfuzzy,0,0,0,0
64072,mrfuzzy,0,0,0,0
64075,mrfuzzy,0,0,0,0
64076,mrfuzzy,0,0,0,0
64078,lovebear,0,0,0,0
64079,mrfuzzy,1,0,0,0
64091,mrfuzzy,0,0,0,0
64094,mrfuzzy,0,0,0,0
64092,mrfuzzy,0,0,0,0
64096,mrfuzzy,0,0,0,0
64099,mrfuzzy,0,0,0,0
64098,mrfuzzy,1,0,0,0
64100,mrfuzzy,0,0,0,0
64101,mrfuzzy,0,0,0,0
64104,mrfuzzy,1,1,1,0
64103,mrfuzzy,1,0,0,0
64105,mrfuzzy,0,0,0,0
64106,mrfuzzy,0,0,0,0
64108,mrfuzzy,1,1,1,1
64110,mrfuzzy,0,0,0,0
64111,lovebear,0,0,0,0
64112,mrfuzzy,0,0,0,0
64114,mrfuzzy,1,0,0,0
64119,mrfuzzy,1,0,0,0
64121,mrfuzzy,1,1,1,0
64122,mrfuzzy,0,0,0,0
64131,lovebear,1,0,0,0
64134,mrfuzzy,1,1,1,0
64138,mrfuzzy,1,1,1,1
64140,mrfuzzy,1,1,0,0
64141,mrfuzzy,0,0,0,0
64145,mrfuzzy,0,0,0,0
64150,mrfuzzy,0,0,0,0
64152,mrfuzzy,0,0,0,0
64157,mrfuzzy,1,1,1,0
64158,mrfuzzy,0,0,0,0
64159,mrfuzzy,0,0,0,0
64160,mrfuzzy,0,0,0,0
64164,mrfuzzy,1,1,1,1
64170,mrfuzzy,1,1,1,1
64169,mrfuzzy,0,0,0,0
64172,mrfuzzy,1,1,1,1
64175,mrfuzzy,0,0,0,0
64176,mrfuzzy,1,0,0,0
64177,mrfuzzy,0,0,0,0
64186,mrfuzzy,0,0,0,0
64187,mrfuzzy,0,0,0,0
64189,mrfuzzy,0,0,0,0
64188,lovebear,0,0,0,0
64192,mrfuzzy,0,0,0,0
64196,mrfuzzy,0,0,0,0
64195,mrfuzzy,1,0,0,0
64199,mrfuzzy,0,0,0,0
64198,mrfuzzy,1,1,1,1
64197,mrfuzzy,0,0,0,0
64200,mrfuzzy,1,0,0,0
64201,mrfuzzy,1,1,1,1
64206,mrfuzzy,0,0,0,0
64208,mrfuzzy,0,0,0,0
64209,lovebear,0,0,0,0
64213,mrfuzzy,1,0,0,0
64214,mrfuzzy,0,0,0,0
64215,mrfuzzy,1,0,0,0
64216,mrfuzzy,0,0,0,0
64218,mrfuzzy,1,1,1,1
64220,mrfuzzy,1,1,1,0
64222,mrfuzzy,0,0,0,0
64223,mrfuzzy,1,1,1,0
64221,mrfuzzy,0,0,0,0
64224,mrfuzzy,1,1,1,1
64226,lovebear,1,1,1,1
64231,mrfuzzy,1,1,1,1
64239,mrfuzzy,0,0,0,0
64241,mrfuzzy,1,0,0,0
64238,mrfuzzy,1,0,0,0
64240,mrfuzzy,0,0,0,0
64246,mrfuzzy,1,0,0,0
64249,lovebear,1,1,1,1
64250,mrfuzzy,1,1,1,1
64251,mrfuzzy,0,0,0,0
64252,mrfuzzy,0,0,0,0
64255,mrfuzzy,0,0,0,0
64256,mrfuzzy,1,1,1,1
64258,mrfuzzy,0,0,0,0
64259,mrfuzzy,1,1,1,1
64261,mrfuzzy,0,0,0,0
64264,lovebear,1,1,1,0
64266,mrfuzzy,0,0,0,0
64267,mrfuzzy,0,0,0,0
64269,mrfuzzy,1,1,1,0
64275,mrfuzzy,0,0,0,0
64279,mrfuzzy,1,0,0,0
64281,mrfuzzy,0,0,0,0
64282,mrfuzzy,0,0,0,0
64285,mrfuzzy,0,0,0,0
64288,mrfuzzy,1,0,0,0
64296,lovebear,0,0,0,0
64297,mrfuzzy,0,0,0,0
64298,mrfuzzy,0,0,0,0
64300,mrfuzzy,0,0,0,0
64302,mrfuzzy,0,0,0,0
64303,lovebear,1,1,1,1
64305,mrfuzzy,0,0,0,0
64304,mrfuzzy,0,0,0,0
64306,mrfuzzy,0,0,0,0
64307,mrfuzzy,0,0,0,0
64310,mrfuzzy,1,1,1,1
64314,mrfuzzy,1,0,0,0
64315,mrfuzzy,0,0,0,0
64316,mrfuzzy,1,1,1,1
64318,mrfuzzy,0,0,0,0
64319,mrfuzzy,0,0,0,0
64323,lovebear,1,1,1,0
64321,mrfuzzy,1,1,1,0
64322,mrfuzzy,0,0,0,0
64325,mrfuzzy,1,1,1,1
64324,lovebear,1,0,0,0
64331,mrfuzzy,1,1,0,0
64329,lovebear,1,1,1,1
64330,mrfuzzy,1,1,1,1
64333,mrfuzzy,0,0,0,0
64340,mrfuzzy,1,1,1,1
64346,mrfuzzy,0,0,0,0
64350,mrfuzzy,0,0,0,0
64351,mrfuzzy,1,0,0,0
64352,mrfuzzy,0,0,0,0
64353,mrfuzzy,1,1,1,1
64357,mrfuzzy,1,1,1,0
64360,mrfuzzy,0,0,0,0
64361,mrfuzzy,1,1,0,0
64362,mrfuzzy,0,0,0,0
64369,mrfuzzy,0,0,0,0
64370,lovebear,1,0,0,0
64372,mrfuzzy,1,1,1,0
64374,mrfuzzy,0,0,0,0
64375,mrfuzzy,1,1,1,0
64381,lovebear,1,0,0,0
64382,mrfuzzy,0,0,0,0
64385,mrfuzzy,1,0,0,0
64387,mrfuzzy,1,1,1,0
64390,mrfuzzy,1,1,1,1
64391,lovebear,1,1,1,0
64392,mrfuzzy,0,0,0,0
64393,lovebear,1,1,1,1
64396,mrfuzzy,0,0,0,0
64398,mrfuzzy,0,0,0,0
64399,mrfuzzy,0,0,0,0
64400,mrfuzzy,1,1,0,0
64401,mrfuzzy,0,0,0,0
64403,mrfuzzy,0,0,0,0
64407,mrfuzzy,1,1,0,0
64408,mrfuzzy,1,1,1,0
64412,mrfuzzy,0,0,0,0
64411,mrfuzzy,0,0,0,0
64414,mrfuzzy,0,0,0,0
64416,mrfuzzy,0,0,0,0
64418,mrfuzzy,1,1,1,1
64417,mrfuzzy,0,0,0,0
64421,mrfuzzy,0,0,0,0
64422,mrfuzzy,1,1,0,0
64424,lovebear,1,1,1,1
64423,mrfuzzy,0,0,0,0
64427,mrfuzzy,0,0,0,0
64429,mrfuzzy,0,0,0,0
64428,mrfuzzy,0,0,0,0
64430,mrfuzzy,0,0,0,0
64432,mrfuzzy,0,0,0,0
64436,mrfuzzy,1,1,0,0
64437,mrfuzzy,1,1,1,0
64438,mrfuzzy,0,0,0,0
64439,mrfuzzy,0,0,0,0
64440,mrfuzzy,1,1,1,1
64443,mrfuzzy,1,0,0,0
64441,lovebear,1,1,1,0
64444,mrfuzzy,0,0,0,0
64446,mrfuzzy,0,0,0,0
64447,mrfuzzy,0,0,0,0
64450,mrfuzzy,1,1,1,1
64451,mrfuzzy,1,1,1,1
64452,mrfuzzy,0,0,0,0
64454,mrfuzzy,0,0,0,0
64453,mrfuzzy,0,0,0,0
64457,mrfuzzy,1,0,0,0
64455,mrfuzzy,1,1,1,1
64458,mrfuzzy,0,0,0,0
64459,mrfuzzy,1,1,0,0
64462,mrfuzzy,0,0,0,0
64464,mrfuzzy,1,0,0,0
64467,mrfuzzy,0,0,0,0
64469,lovebear,1,0,0,0
64473,mrfuzzy,0,0,0,0
64479,mrfuzzy,0,0,0,0
64480,mrfuzzy,1,1,1,1
64482,mrfuzzy,0,0,0,0
64483,mrfuzzy,0,0,0,0
64486,mrfuzzy,0,0,0,0
64487,mrfuzzy,0,0,0,0
64489,mrfuzzy,1,1,1,1
64490,mrfuzzy,1,1,1,1
64494,mrfuzzy,1,0,0,0
64506,mrfuzzy,0,0,0,0
64508,mrfuzzy,0,0,0,0
64511,mrfuzzy,0,0,0,0
64512,mrfuzzy,0,0,0,0
64514,mrfuzzy,0,0,0,0
64515,mrfuzzy,0,0,0,0
64517,mrfuzzy,1,1,1,0
64518,mrfuzzy,1,0,0,0
64520,lovebear,1,1,1,1
64524,mrfuzzy,0,0,0,0
64527,mrfuzzy,0,0,0,0
64532,mrfuzzy,1,1,1,1
64535,lovebear,1,1,1,0
64534,mrfuzzy,1,1,1,0
64540,mrfuzzy,0,0,0,0
64542,mrfuzzy,0,0,0,0
64547,mrfuzzy,0,0,0,0
64548,mrfuzzy,0,0,0,0
64551,mrfuzzy,0,0,0,0
64556,lovebear,0,0,0,0
64560,mrfuzzy,1,1,0,0
64570,mrfuzzy,0,0,0,0
64574,lovebear,0,0,0,0
64575,mrfuzzy,0,0,0,0
64576,mrfuzzy,0,0,0,0
64577,mrfuzzy,1,1,1,1
64581,mrfuzzy,1,0,0,0
64582,lovebear,1,1,1,0
64586,mrfuzzy,0,0,0,0
64588,mrfuzzy,0,0,0,0
64599,lovebear,1,1,0,0
64605,mrfuzzy,0,0,0,0
64606,mrfuzzy,0,0,0,0
64609,mrfuzzy,0,0,0,0
64613,mrfuzzy,0,0,0,0
64616,mrfuzzy,0,0,0,0
64617,mrfuzzy,1,1,1,1
64621,mrfuzzy,0,0,0,0
64622,mrfuzzy,0,0,0,0
64625,mrfuzzy,1,1,0,0
64626,mrfuzzy,0,0,0,0
64634,mrfuzzy,1,0,0,0
64633,mrfuzzy,0,0,0,0
64639,mrfuzzy,0,0,0,0
64642,mrfuzzy,0,0,0,0
64641,mrfuzzy,1,0,0,0
64644,mrfuzzy,1,0,0,0
64648,mrfuzzy,1,0,0,0
64650,mrfuzzy,0,0,0,0
64656,mrfuzzy,0,0,0,0
64662,mrfuzzy,0,0,0,0
64661,mrfuzzy,0,0,0,0
64667,mrfuzzy,1,1,1,1
64668,mrfuzzy,0,0,0,0
64670,mrfuzzy,0,0,0,0
64672,mrfuzzy,1,1,1,0
64673,mrfuzzy,1,1,0,0
64674,mrfuzzy,1,1,1,1
64676,mrfuzzy,0,0,0,0
64677,mrfuzzy,1,1,1,1
64678,mrfuzzy,0,0,0,0
64686,lovebear,1,1,1,1
64689,mrfuzzy,0,0,0,0
64692,mrfuzzy,1,1,1,1
64693,mrfuzzy,0,0,0,0
64695,mrfuzzy,0,0,0,0
64696,mrfuzzy,1,1,1,0
64697,mrfuzzy,0,0,0,0
64698,mrfuzzy,0,0,0,0
64702,mrfuzzy,1,1,0,0
64704,mrfuzzy,0,0,0,0
64708,mrfuzzy,0,0,0,0
64715,mrfuzzy,1,0,0,0
64716,mrfuzzy,0,0,0,0
64717,mrfuzzy,0,0,0,0
64719,lovebear,1,0,0,0
64720,mrfuzzy,0,0,0,0
64725,lovebear,1,0,0,0
64724,mrfuzzy,0,0,0,0
64727,mrfuzzy,0,0,0,0
64731,mrfuzzy,1,1,1,1
64728,mrfuzzy,0,0,0,0
64730,mrfuzzy,0,0,0,0
64734,mrfuzzy,1,1,1,1
64737,mrfuzzy,0,0,0,0
64738,mrfuzzy,0,0,0,0
64740,mrfuzzy,1,0,0,0
64743,mrfuzzy,0,0,0,0
64745,lovebear,0,0,0,0
64751,mrfuzzy,0,0,0,0
64749,lovebear,1,1,1,1
64753,mrfuzzy,0,0,0,0
64754,mrfuzzy,0,0,0,0
64759,mrfuzzy,0,0,0,0
64762,mrfuzzy,0,0,0,0
64768,lovebear,1,1,1,0
64769,mrfuzzy,0,0,0,0
64770,lovebear,0,0,0,0
64771,mrfuzzy,1,1,1,1
64775,mrfuzzy,1,0,0,0
64776,mrfuzzy,1,1,1,1
64777,mrfuzzy,0,0,0,0
64778,mrfuzzy,0,0,0,0
64779,mrfuzzy,0,0,0,0
64781,mrfuzzy,0,0,0,0
64788,mrfuzzy,0,0,0,0
64789,mrfuzzy,0,0,0,0
64790,lovebear,1,1,1,1
64795,mrfuzzy,0,0,0,0
64794,mrfuzzy,0,0,0,0
64799,mrfuzzy,1,1,1,1
64801,mrfuzzy,1,0,0,0
64802,lovebear,0,0,0,0
64807,mrfuzzy,0,0,0,0
64806,mrfuzzy,0,0,0,0
64812,mrfuzzy,1,0,0,0
64811,mrfuzzy,0,0,0,0
64814,mrfuzzy,0,0,0,0
64815,mrfuzzy,0,0,0,0
64817,mrfuzzy,0,0,0,0
64819,mrfuzzy,0,0,0,0
64820,mrfuzzy,0,0,0,0
64828,mrfuzzy,1,1,1,1
64829,mrfuzzy,1,1,1,0
64830,mrfuzzy,0,0,0,0
64831,lovebear,1,1,1,1
64834,mrfuzzy,1,1,1,0
64835,mrfuzzy,1,0,0,0
64837,mrfuzzy,0,0,0,0
64843,mrfuzzy,0,0,0,0
64845,mrfuzzy,1,1,1,0
64848,mrfuzzy,0,0,0,0
64850,lovebear,1,0,0,0
64849,lovebear,0,0,0,0
64856,mrfuzzy,0,0,0,0
64862,mrfuzzy,0,0,0,0
64868,mrfuzzy,1,1,1,0
64871,mrfuzzy,1,0,0,0
64877,lovebear,0,0,0,0
64882,mrfuzzy,0,0,0,0
64883,mrfuzzy,0,0,0,0
64886,mrfuzzy,0,0,0,0
64889,mrfuzzy,1,0,0,0
64894,mrfuzzy,0,0,0,0
64895,lovebear,1,0,0,0
64898,mrfuzzy,1,1,1,0
64899,mrfuzzy,1,1,1,1
64903,mrfuzzy,0,0,0,0
64904,lovebear,0,0,0,0
64906,lovebear,1,0,0,0
64909,lovebear,1,1,1,0
64910,mrfuzzy,0,0,0,0
64912,mrfuzzy,1,1,0,0
64918,mrfuzzy,0,0,0,0
64919,mrfuzzy,1,1,1,1
64920,mrfuzzy,0,0,0,0
64921,mrfuzzy,0,0,0,0
64925,lovebear,0,0,0,0
64933,mrfuzzy,0,0,0,0
64938,lovebear,0,0,0,0
64939,mrfuzzy,0,0,0,0
64940,mrfuzzy,0,0,0,0
64942,mrfuzzy,1,1,1,1
64941,mrfuzzy,0,0,0,0
64944,mrfuzzy,0,0,0,0
64947,mrfuzzy,0,0,0,0
64948,mrfuzzy,0,0,0,0
64950,lovebear,1,1,1,1
64954,mrfuzzy,1,1,1,0
64959,mrfuzzy,1,1,1,1
64964,mrfuzzy,0,0,0,0
64965,mrfuzzy,0,0,0,0
64971,mrfuzzy,1,0,0,0
64974,mrfuzzy,0,0,0,0
64979,mrfuzzy,1,1,0,0
64984,mrfuzzy,1,1,1,1
64987,mrfuzzy,0,0,0,0
64989,lovebear,0,0,0,0
64992,mrfuzzy,1,1,1,0
64991,mrfuzzy,1,0,0,0
64995,mrfuzzy,0,0,0,0
64997,mrfuzzy,0,0,0,0
64998,mrfuzzy,0,0,0,0
64999,mrfuzzy,1,0,0,0
65001,mrfuzzy,0,0,0,0
65003,mrfuzzy,0,0,0,0
65004,mrfuzzy,1,1,1,0
65005,mrfuzzy,0,0,0,0
65010,mrfuzzy,1,0,0,0
65011,mrfuzzy,0,0,0,0
65012,mrfuzzy,0,0,0,0
65013,mrfuzzy,1,1,1,1
65014,mrfuzzy,1,1,1,0
65016,mrfuzzy,0,0,0,0
65017,mrfuzzy,0,0,0,0
65018,mrfuzzy,0,0,0,0
65019,lovebear,1,0,0,0
65022,lovebear,1,0,0,0
65024,mrfuzzy,1,1,1,1
65027,mrfuzzy,0,0,0,0
65030,lovebear,0,0,0,0
65032,mrfuzzy,0,0,0,0
65031,mrfuzzy,1,0,0,0
65033,mrfuzzy,0,0,0,0
65039,mrfuzzy,1,1,1,1
65040,mrfuzzy,0,0,0,0
65046,mrfuzzy,0,0,0,0
65045,mrfuzzy,0,0,0,0
65047,mrfuzzy,0,0,0,0
65051,lovebear,1,1,1,1
65050,mrfuzzy,1,0,0,0
65054,lovebear,0,0,0,0
65055,mrfuzzy,1,0,0,0
65057,mrfuzzy,0,0,0,0
65059,mrfuzzy,0,0,0,0
65060,mrfuzzy,0,0,0,0
65061,mrfuzzy,1,0,0,0
65077,mrfuzzy,1,1,1,0
65079,lovebear,0,0,0,0
65078,mrfuzzy,0,0,0,0
65081,mrfuzzy,0,0,0,0
65084,lovebear,0,0,0,0
65088,mrfuzzy,0,0,0,0
65087,mrfuzzy,0,0,0,0
65093,mrfuzzy,1,1,1,1
65094,mrfuzzy,1,1,1,0
65095,mrfuzzy,1,0,0,0
65097,lovebear,1,0,0,0
65098,lovebear,0,0,0,0
65099,mrfuzzy,0,0,0,0
65103,mrfuzzy,1,0,0,0
65114,mrfuzzy,1,1,1,0
65124,lovebear,1,0,0,0
65126,mrfuzzy,0,0,0,0
65125,mrfuzzy,1,1,1,0
65127,mrfuzzy,0,0,0,0
65128,mrfuzzy,0,0,0,0
65129,mrfuzzy,0,0,0,0
65132,mrfuzzy,1,1,1,1
65139,mrfuzzy,0,0,0,0
65144,mrfuzzy,0,0,0,0
65148,mrfuzzy,1,1,1,1
65151,mrfuzzy,1,1,1,1
65154,mrfuzzy,0,0,0,0
65155,mrfuzzy,0,0,0,0
65156,mrfuzzy,0,0,0,0
65157,mrfuzzy,0,0,0,0
65158,mrfuzzy,1,1,1,1
65160,mrfuzzy,0,0,0,0
65162,mrfuzzy,1,1,1,0
65166,mrfuzzy,1,1,1,1
65167,mrfuzzy,1,0,0,0
65168,mrfuzzy,0,0,0,0
65171,mrfuzzy,0,0,0,0
65172,mrfuzzy,1,0,0,0
65178,mrfuzzy,1,1,1,1
65177,mrfuzzy,0,0,0,0
65179,mrfuzzy,0,0,0,0
65180,mrfuzzy,1,1,1,0
65183,mrfuzzy,0,0,0,0
65186,mrfuzzy,0,0,0,0
65187,mrfuzzy,0,0,0,0
65192,lovebear,0,0,0,0
65193,lovebear,0,0,0,0
65195,mrfuzzy,1,1,0,0
65197,lovebear,1,1,1,1
65198,mrfuzzy,0,0,0,0
65204,mrfuzzy,1,1,0,0
65206,mrfuzzy,1,1,1,0
65208,mrfuzzy,1,1,1,0
65209,mrfuzzy,1,0,0,0
65214,mrfuzzy,0,0,0,0
65216,lovebear,0,0,0,0
65215,mrfuzzy,1,1,1,1
65219,mrfuzzy,1,1,1,0
65222,lovebear,1,1,1,0
65226,mrfuzzy,0,0,0,0
65229,mrfuzzy,0,0,0,0
65235,mrfuzzy,0,0,0,0
65236,lovebear,0,0,0,0
65243,mrfuzzy,1,1,1,1
65249,mrfuzzy,1,0,0,0
65247,mrfuzzy,1,1,1,1
65250,mrfuzzy,0,0,0,0
65255,lovebear,0,0,0,0
65256,mrfuzzy,1,1,1,1
65257,lovebear,1,1,1,0
65258,mrfuzzy,0,0,0,0
65262,mrfuzzy,0,0,0,0
65263,mrfuzzy,0,0,0,0
65267,mrfuzzy,0,0,0,0
65268,lovebear,1,1,1,1
65271,lovebear,1,0,0,0
65273,mrfuzzy,1,1,1,0
65274,mrfuzzy,0,0,0,0
65278,mrfuzzy,1,1,0,0
65280,mrfuzzy,1,0,0,0
65282,mrfuzzy,0,0,0,0
65283,lovebear,1,0,0,0
65281,mrfuzzy,1,1,1,0
65289,mrfuzzy,0,0,0,0
65291,lovebear,1,0,0,0
65295,mrfuzzy,1,1,1,0
65297,mrfuzzy,0,0,0,0
65299,mrfuzzy,1,1,0,0
65301,mrfuzzy,0,0,0,0
65302,mrfuzzy,0,0,0,0
65305,mrfuzzy,1,1,1,0
65307,mrfuzzy,0,0,0,0
65312,mrfuzzy,0,0,0,0
65313,mrfuzzy,0,0,0,0
65320,mrfuzzy,1,1,0,0
65319,mrfuzzy,0,0,0,0
65326,mrfuzzy,0,0,0,0
65331,mrfuzzy,1,1,1,0
65334,mrfuzzy,1,1,1,1
65336,mrfuzzy,0,0,0,0
65339,mrfuzzy,0,0,0,0
