created_date,wkday,hr,website_sessions
2012-09-21,4,10,20
2012-09-21,4,11,19
2012-09-21,4,12,14
2012-09-21,4,13,20
2012-09-21,4,14,22
2012-09-21,4,15,26
2012-09-21,4,16,19
2012-09-21,4,17,9
2012-09-21,4,18,7
2012-09-21,4,19,12
2012-09-21,4,20,9
2012-09-21,4,21,5
2012-09-21,4,22,7
2012-09-21,4,23,8
2012-09-22,5,0,6
2012-09-22,5,1,6
2012-09-22,5,2,3
2012-09-22,5,3,2
2012-09-22,5,4,3
2012-09-22,5,5,4
2012-09-22,5,6,3
2012-09-22,5,7,6
2012-09-22,5,8,5
2012-09-22,5,9,11
2012-09-22,5,10,4
2012-09-22,5,11,6
2012-09-22,5,12,14
2012-09-22,5,13,10
2012-09-22,5,14,9
2012-09-22,5,15,7
2012-09-22,5,16,7
2012-09-22,5,17,7
2012-09-22,5,18,2
2012-09-22,5,19,6
2012-09-22,5,20,6
2012-09-22,5,21,6
2012-09-22,5,22,2
2012-09-22,5,23,7
2012-09-23,6,0,6
2012-09-23,6,1,3
2012-09-23,6,2,3
2012-09-23,6,3,2
2012-09-23,6,4,1
2012-09-23,6,5,7
2012-09-23,6,6,5
2012-09-23,6,7,6
2012-09-23,6,8,6
2012-09-23,6,9,4
2012-09-23,6,10,9
2012-09-23,6,11,8
2012-09-23,6,12,7
2012-09-23,6,13,10
2012-09-23,6,14,6
2012-09-23,6,15,8
2012-09-23,6,16,3
2012-09-23,6,17,10
2012-09-23,6,18,9
2012-09-23,6,19,8
2012-09-23,6,20,6
2012-09-23,6,21,9
2012-09-23,6,22,9
2012-09-23,6,23,8
2012-09-24,0,0,10
2012-09-24,0,1,9
2012-09-24,0,2,6
2012-09-24,0,3,8
2012-09-24,0,5,6
2012-09-24,0,6,4
2012-09-24,0,7,9
2012-09-24,0,8,18
2012-09-24,0,9,12
2012-09-24,0,10,15
2012-09-24,0,11,15
2012-09-24,0,12,22
2012-09-24,0,13,12
2012-09-24,0,14,11
2012-09-24,0,15,17
2012-09-24,0,16,15
2012-09-24,0,17,15
2012-09-24,0,18,10
2012-09-24,0,19,10
2012-09-24,0,20,6
2012-09-24,0,21,10
2012-09-24,0,22,11
2012-09-24,0,23,8
2012-09-25,1,0,5
2012-09-25,1,1,7
2012-09-25,1,2,3
2012-09-25,1,3,3
2012-09-25,1,4,3
2012-09-25,1,5,6
2012-09-25,1,6,7
2012-09-25,1,7,5
2012-09-25,1,8,9
2012-09-25,1,9,21
2012-09-25,1,10,22
2012-09-25,1,11,13
2012-09-25,1,12,19
2012-09-25,1,13,25
2012-09-25,1,14,16
2012-09-25,1,15,17
2012-09-25,1,16,21
2012-09-25,1,17,12
2012-09-25,1,18,13
2012-09-25,1,19,11
2012-09-25,1,20,14
2012-09-25,1,21,8
2012-09-25,1,22,11
2012-09-25,1,23,5
2012-09-26,2,0,9
2012-09-26,2,1,3
2012-09-26,2,2,4
2012-09-26,2,3,5
2012-09-26,2,4,7
2012-09-26,2,5,6
2012-09-26,2,6,5
2012-09-26,2,7,7
2012-09-26,2,8,12
2012-09-26,2,9,12
2012-09-26,2,10,19
2012-09-26,2,11,15
2012-09-26,2,12,18
2012-09-26,2,13,17
2012-09-26,2,14,13
2012-09-26,2,15,23
2012-09-26,2,16,22
2012-09-26,2,17,14
2012-09-26,2,18,15
2012-09-26,2,19,12
2012-09-26,2,20,11
2012-09-26,2,21,6
2012-09-26,2,22,10
2012-09-26,2,23,9
2012-09-27,3,0,11
2012-09-27,3,1,5
2012-09-27,3,2,8
2012-09-27,3,3,2
2012-09-27,3,4,4
2012-09-27,3,5,4
2012-09-27,3,6,3
2012-09-27,3,7,6
2012-09-27,3,8,12
2012-09-27,3,9,13
2012-09-27,3,10,17
2012-09-27,3,11,21
2012-09-27,3,12,17
2012-09-27,3,13,16
2012-09-27,3,14,12
2012-09-27,3,15,25
2012-09-27,3,16,15
2012-09-27,3,17,19
2012-09-27,3,18,13
2012-09-27,3,19,11
2012-09-27,3,20,10
2012-09-27,3,21,9
2012-09-27,3,22,12
2012-09-27,3,23,17
2012-09-28,4,0,5
2012-09-28,4,1,9
2012-09-28,4,2,2
2012-09-28,4,3,2
2012-09-28,4,4,9
2012-09-28,4,5,5
2012-09-28,4,6,4
2012-09-28,4,7,10
2012-09-28,4,8,12
2012-09-28,4,9,13
2012-09-28,4,10,16
2012-09-28,4,11,21
2012-09-28,4,12,14
2012-09-28,4,13,18
2012-09-28,4,14,18
2012-09-28,4,15,15
2012-09-28,4,16,15
2012-09-28,4,17,12
2012-09-28,4,18,6
2012-09-28,4,19,13
2012-09-28,4,20,10
2012-09-28,4,21,12
2012-09-28,4,22,4
2012-09-28,4,23,8
2012-09-29,5,0,2
2012-09-29,5,1,4
2012-09-29,5,2,8
2012-09-29,5,3,10
2012-09-29,5,4,2
2012-09-29,5,5,5
2012-09-29,5,6,1
2012-09-29,5,7,3
2012-09-29,5,8,6
2012-09-29,5,9,5
2012-09-29,5,10,3
2012-09-29,5,11,3
2012-09-29,5,12,9
2012-09-29,5,13,4
2012-09-29,5,14,10
2012-09-29,5,15,4
2012-09-29,5,16,9
2012-09-29,5,17,10
2012-09-29,5,18,4
2012-09-29,5,19,7
2012-09-29,5,20,3
2012-09-29,5,21,6
2012-09-29,5,22,6
2012-09-29,5,23,3
2012-09-30,6,0,5
2012-09-30,6,1,4
2012-09-30,6,2,4
2012-09-30,6,3,3
2012-09-30,6,4,2
2012-09-30,6,5,4
2012-09-30,6,6,1
2012-09-30,6,7,2
2012-09-30,6,8,4
2012-09-30,6,9,1
2012-09-30,6,10,3
2012-09-30,6,11,8
2012-09-30,6,12,5
2012-09-30,6,13,5
2012-09-30,6,14,5
2012-09-30,6,15,5
2012-09-30,6,16,8
2012-09-30,6,17,11
2012-09-30,6,18,10
2012-09-30,6,19,5
2012-09-30,6,20,7
2012-09-30,6,21,8
2012-09-30,6,22,7
2012-09-30,6,23,8
2012-10-01,0,0,10
2012-10-01,0,1,3
2012-10-01,0,2,10
2012-10-01,0,3,4
2012-10-01,0,4,4
2012-10-01,0,5,2
2012-10-01,0,6,5
2012-10-01,0,7,11
2012-10-01,0,8,12
2012-10-01,0,9,14
2012-10-01,0,10,16
2012-10-01,0,11,15
2012-10-01,0,12,18
2012-10-01,0,13,16
2012-10-01,0,14,14
2012-10-01,0,15,17
2012-10-01,0,16,23
2012-10-01,0,17,16
2012-10-01,0,18,8
2012-10-01,0,19,8
2012-10-01,0,20,15
2012-10-01,0,21,4
2012-10-01,0,22,10
2012-10-01,0,23,8
2012-10-02,1,0,6
2012-10-02,1,1,7
2012-10-02,1,2,5
2012-10-02,1,3,4
2012-10-02,1,4,2
2012-10-02,1,5,3
2012-10-02,1,6,5
2012-10-02,1,7,6
2012-10-02,1,8,8
2012-10-02,1,9,9
2012-10-02,1,10,14
2012-10-02,1,11,16
2012-10-02,1,12,16
2012-10-02,1,13,16
2012-10-02,1,14,16
2012-10-02,1,15,13
2012-10-02,1,16,20
2012-10-02,1,17,11
2012-10-02,1,18,10
2012-10-02,1,19,16
2012-10-02,1,20,9
2012-10-02,1,21,7
2012-10-02,1,22,9
2012-10-02,1,23,10
2012-10-03,2,0,2
2012-10-03,2,1,6
2012-10-03,2,2,4
2012-10-03,2,3,3
2012-10-03,2,4,5
2012-10-03,2,5,4
2012-10-03,2,6,5
2012-10-03,2,7,7
2012-10-03,2,8,7
2012-10-03,2,9,18
2012-10-03,2,10,13
2012-10-03,2,11,13
2012-10-03,2,12,18
2012-10-03,2,13,19
2012-10-03,2,14,26
2012-10-03,2,15,25
2012-10-03,2,16,22
2012-10-03,2,17,22
2012-10-03,2,18,8
2012-10-03,2,19,16
2012-10-03,2,20,14
2012-10-03,2,21,7
2012-10-03,2,22,6
2012-10-03,2,23,10
2012-10-04,3,0,5
2012-10-04,3,1,1
2012-10-04,3,2,4
2012-10-04,3,3,5
2012-10-04,3,4,4
2012-10-04,3,5,6
2012-10-04,3,6,7
2012-10-04,3,7,4
2012-10-04,3,8,20
2012-10-04,3,9,27
2012-10-04,3,10,19
2012-10-04,3,11,20
2012-10-04,3,12,24
2012-10-04,3,13,13
2012-10-04,3,14,8
2012-10-04,3,15,20
2012-10-04,3,16,12
2012-10-04,3,17,21
2012-10-04,3,18,15
2012-10-04,3,19,15
2012-10-04,3,20,7
2012-10-04,3,21,10
2012-10-04,3,22,12
2012-10-04,3,23,7
2012-10-05,4,0,8
2012-10-05,4,1,6
2012-10-05,4,2,10
2012-10-05,4,3,2
2012-10-05,4,5,3
2012-10-05,4,6,8
2012-10-05,4,7,4
2012-10-05,4,8,5
2012-10-05,4,9,22
2012-10-05,4,10,13
2012-10-05,4,11,15
2012-10-05,4,12,18
2012-10-05,4,13,12
2012-10-05,4,14,22
2012-10-05,4,15,19
2012-10-05,4,16,16
2012-10-05,4,17,17
2012-10-05,4,18,9
2012-10-05,4,19,12
2012-10-05,4,20,9
2012-10-05,4,21,4
2012-10-05,4,22,6
2012-10-05,4,23,6
2012-10-06,5,0,5
2012-10-06,5,1,2
2012-10-06,5,2,2
2012-10-06,5,3,3
2012-10-06,5,4,2
2012-10-06,5,5,7
2012-10-06,5,6,4
2012-10-06,5,7,3
2012-10-06,5,8,7
2012-10-06,5,9,6
2012-10-06,5,10,6
2012-10-06,5,11,8
2012-10-06,5,12,9
2012-10-06,5,13,8
2012-10-06,5,14,7
2012-10-06,5,15,5
2012-10-06,5,16,5
2012-10-06,5,17,1
2012-10-06,5,18,4
2012-10-06,5,19,4
2012-10-06,5,20,3
2012-10-06,5,21,6
2012-10-06,5,22,6
2012-10-06,5,23,2
2012-10-07,6,0,7
2012-10-07,6,1,3
2012-10-07,6,2,2
2012-10-07,6,3,4
2012-10-07,6,4,2
2012-10-07,6,5,3
2012-10-07,6,6,3
2012-10-07,6,7,2
2012-10-07,6,8,3
2012-10-07,6,9,2
2012-10-07,6,10,2
2012-10-07,6,11,5
2012-10-07,6,12,5
2012-10-07,6,13,7
2012-10-07,6,14,4
2012-10-07,6,15,3
2012-10-07,6,16,6
2012-10-07,6,17,7
2012-10-07,6,18,5
2012-10-07,6,19,4
2012-10-07,6,20,5
2012-10-07,6,21,8
2012-10-07,6,22,10
2012-10-07,6,23,9
2012-10-08,0,0,6
2012-10-08,0,1,3
2012-10-08,0,2,4
2012-10-08,0,3,3
2012-10-08,0,4,8
2012-10-08,0,5,7
2012-10-08,0,6,5
2012-10-08,0,7,7
2012-10-08,0,8,9
2012-10-08,0,9,12
2012-10-08,0,10,17
2012-10-08,0,11,21
2012-10-08,0,12,15
2012-10-08,0,13,19
2012-10-08,0,14,21
2012-10-08,0,15,22
2012-10-08,0,16,17
2012-10-08,0,17,20
2012-10-08,0,18,15
2012-10-08,0,19,13
2012-10-08,0,20,15
2012-10-08,0,21,8
2012-10-08,0,22,4
2012-10-08,0,23,5
2012-10-09,1,0,4
2012-10-09,1,1,4
2012-10-09,1,2,8
2012-10-09,1,3,1
2012-10-09,1,4,3
2012-10-09,1,5,7
2012-10-09,1,6,6
2012-10-09,1,7,8
2012-10-09,1,8,13
2012-10-09,1,9,10
2012-10-09,1,10,22
2012-10-09,1,11,16
2012-10-09,1,12,20
2012-10-09,1,13,26
2012-10-09,1,14,20
2012-10-09,1,15,18
2012-10-09,1,16,24
2012-10-09,1,17,15
2012-10-09,1,18,12
2012-10-09,1,19,17
2012-10-09,1,20,13
2012-10-09,1,21,12
2012-10-09,1,22,10
2012-10-09,1,23,3
2012-10-10,2,0,4
2012-10-10,2,1,5
2012-10-10,2,2,4
2012-10-10,2,3,8
2012-10-10,2,4,6
2012-10-10,2,5,5
2012-10-10,2,6,4
2012-10-10,2,7,7
2012-10-10,2,8,13
2012-10-10,2,9,19
2012-10-10,2,10,20
2012-10-10,2,11,25
2012-10-10,2,12,15
2012-10-10,2,13,19
2012-10-10,2,14,19
2012-10-10,2,15,24
2012-10-10,2,16,20
2012-10-10,2,17,17
2012-10-10,2,18,15
2012-10-10,2,19,12
2012-10-10,2,20,10
2012-10-10,2,21,7
2012-10-10,2,22,10
2012-10-10,2,23,10
2012-10-11,3,0,6
2012-10-11,3,1,6
2012-10-11,3,2,4
2012-10-11,3,4,3
2012-10-11,3,5,8
2012-10-11,3,6,7
2012-10-11,3,7,9
2012-10-11,3,8,14
2012-10-11,3,9,23
2012-10-11,3,10,16
2012-10-11,3,11,20
2012-10-11,3,12,24
2012-10-11,3,13,13
2012-10-11,3,14,11
2012-10-11,3,15,19
2012-10-11,3,16,17
2012-10-11,3,17,18
2012-10-11,3,18,15
2012-10-11,3,19,7
2012-10-11,3,20,9
2012-10-11,3,21,12
2012-10-11,3,22,12
2012-10-11,3,23,4
2012-10-12,4,0,5
2012-10-12,4,1,5
2012-10-12,4,2,5
2012-10-12,4,3,3
2012-10-12,4,4,2
2012-10-12,4,5,4
2012-10-12,4,6,4
2012-10-12,4,7,7
2012-10-12,4,8,10
2012-10-12,4,9,13
2012-10-12,4,10,28
2012-10-12,4,11,20
2012-10-12,4,12,19
2012-10-12,4,13,26
2012-10-12,4,14,19
2012-10-12,4,15,16
2012-10-12,4,16,21
2012-10-12,4,17,10
2012-10-12,4,18,11
2012-10-12,4,19,10
2012-10-12,4,20,7
2012-10-12,4,21,4
2012-10-12,4,22,2
2012-10-12,4,23,7
2012-10-13,5,0,7
2012-10-13,5,1,3
2012-10-13,5,2,1
2012-10-13,5,3,2
2012-10-13,5,4,3
2012-10-13,5,5,3
2012-10-13,5,6,3
2012-10-13,5,7,3
2012-10-13,5,8,1
2012-10-13,5,9,8
2012-10-13,5,10,6
2012-10-13,5,11,5
2012-10-13,5,12,7
2012-10-13,5,13,9
2012-10-13,5,14,4
2012-10-13,5,15,2
2012-10-13,5,16,8
2012-10-13,5,17,8
2012-10-13,5,18,4
2012-10-13,5,19,4
2012-10-13,5,20,8
2012-10-13,5,21,6
2012-10-13,5,22,7
2012-10-13,5,23,8
2012-10-14,6,0,6
2012-10-14,6,1,1
2012-10-14,6,2,2
2012-10-14,6,3,6
2012-10-14,6,4,3
2012-10-14,6,5,9
2012-10-14,6,6,3
2012-10-14,6,7,2
2012-10-14,6,8,2
2012-10-14,6,9,9
2012-10-14,6,10,6
2012-10-14,6,11,9
2012-10-14,6,12,5
2012-10-14,6,13,8
2012-10-14,6,14,13
2012-10-14,6,15,8
2012-10-14,6,16,7
2012-10-14,6,17,13
2012-10-14,6,18,6
2012-10-14,6,19,5
2012-10-14,6,20,8
2012-10-14,6,21,13
2012-10-14,6,22,5
2012-10-14,6,23,9
2012-10-15,0,0,12
2012-10-15,0,1,7
2012-10-15,0,2,6
2012-10-15,0,3,3
2012-10-15,0,4,6
2012-10-15,0,5,8
2012-10-15,0,6,8
2012-10-15,0,7,5
2012-10-15,0,8,15
2012-10-15,0,9,18
2012-10-15,0,10,22
2012-10-15,0,11,16
2012-10-15,0,12,25
2012-10-15,0,13,16
2012-10-15,0,14,19
2012-10-15,0,15,29
2012-10-15,0,16,22
2012-10-15,0,17,16
2012-10-15,0,18,19
2012-10-15,0,19,15
2012-10-15,0,20,8
2012-10-15,0,21,15
2012-10-15,0,22,8
2012-10-15,0,23,8
2012-10-16,1,0,8
2012-10-16,1,1,10
2012-10-16,1,2,3
2012-10-16,1,3,5
2012-10-16,1,4,8
2012-10-16,1,5,6
2012-10-16,1,6,4
2012-10-16,1,7,3
2012-10-16,1,8,14
2012-10-16,1,9,11
2012-10-16,1,10,13
2012-10-16,1,11,31
2012-10-16,1,12,24
2012-10-16,1,13,20
2012-10-16,1,14,23
2012-10-16,1,15,16
2012-10-16,1,16,23
2012-10-16,1,17,16
2012-10-16,1,18,16
2012-10-16,1,19,6
2012-10-16,1,20,9
2012-10-16,1,21,17
2012-10-16,1,22,3
2012-10-16,1,23,9
2012-10-17,2,0,5
2012-10-17,2,1,6
2012-10-17,2,2,4
2012-10-17,2,3,3
2012-10-17,2,4,11
2012-10-17,2,5,2
2012-10-17,2,6,5
2012-10-17,2,7,11
2012-10-17,2,8,14
2012-10-17,2,9,15
2012-10-17,2,10,17
2012-10-17,2,11,19
2012-10-17,2,12,22
2012-10-17,2,13,20
2012-10-17,2,14,23
2012-10-17,2,15,27
2012-10-17,2,16,25
2012-10-17,2,17,19
2012-10-17,2,18,12
2012-10-17,2,19,20
2012-10-17,2,20,17
2012-10-17,2,21,17
2012-10-17,2,22,11
2012-10-17,2,23,8
2012-10-18,3,0,13
2012-10-18,3,1,5
2012-10-18,3,2,13
2012-10-18,3,3,5
2012-10-18,3,4,4
2012-10-18,3,5,4
2012-10-18,3,6,6
2012-10-18,3,7,15
2012-10-18,3,8,21
2012-10-18,3,9,16
2012-10-18,3,10,20
2012-10-18,3,11,23
2012-10-18,3,12,34
2012-10-18,3,13,27
2012-10-18,3,14,22
2012-10-18,3,15,30
2012-10-18,3,16,20
2012-10-18,3,17,21
2012-10-18,3,18,10
2012-10-18,3,19,13
2012-10-18,3,20,16
2012-10-18,3,21,15
2012-10-18,3,22,14
2012-10-18,3,23,9
2012-10-19,4,0,7
2012-10-19,4,1,12
2012-10-19,4,2,6
2012-10-19,4,3,5
2012-10-19,4,4,5
2012-10-19,4,5,5
2012-10-19,4,6,8
2012-10-19,4,7,8
2012-10-19,4,8,10
2012-10-19,4,9,21
2012-10-19,4,10,18
2012-10-19,4,11,17
2012-10-19,4,12,23
2012-10-19,4,13,23
2012-10-19,4,14,20
2012-10-19,4,15,26
2012-10-19,4,16,30
2012-10-19,4,17,13
2012-10-19,4,18,13
2012-10-19,4,19,13
2012-10-19,4,20,8
2012-10-19,4,21,10
2012-10-19,4,22,10
2012-10-19,4,23,8
2012-10-20,5,0,7
2012-10-20,5,1,7
2012-10-20,5,2,3
2012-10-20,5,3,2
2012-10-20,5,4,1
2012-10-20,5,5,2
2012-10-20,5,6,4
2012-10-20,5,7,2
2012-10-20,5,8,4
2012-10-20,5,9,7
2012-10-20,5,10,9
2012-10-20,5,11,6
2012-10-20,5,12,6
2012-10-20,5,13,8
2012-10-20,5,14,11
2012-10-20,5,15,8
2012-10-20,5,16,12
2012-10-20,5,17,8
2012-10-20,5,18,1
2012-10-20,5,19,7
2012-10-20,5,20,8
2012-10-20,5,21,5
2012-10-20,5,22,9
2012-10-20,5,23,8
2012-10-21,6,0,4
2012-10-21,6,1,6
2012-10-21,6,2,2
2012-10-21,6,3,1
2012-10-21,6,4,2
2012-10-21,6,5,2
2012-10-21,6,6,3
2012-10-21,6,7,8
2012-10-21,6,8,6
2012-10-21,6,9,6
2012-10-21,6,10,8
2012-10-21,6,11,6
2012-10-21,6,12,5
2012-10-21,6,13,10
2012-10-21,6,14,6
2012-10-21,6,15,2
2012-10-21,6,16,6
2012-10-21,6,17,7
2012-10-21,6,18,7
2012-10-21,6,19,7
2012-10-21,6,20,8
2012-10-21,6,21,10
2012-10-21,6,22,16
2012-10-21,6,23,8
2012-10-22,0,0,5
2012-10-22,0,1,8
2012-10-22,0,2,8
2012-10-22,0,3,5
2012-10-22,0,4,7
2012-10-22,0,5,8
2012-10-22,0,6,4
2012-10-22,0,7,9
2012-10-22,0,8,11
2012-10-22,0,9,21
2012-10-22,0,10,22
2012-10-22,0,11,14
2012-10-22,0,12,30
2012-10-22,0,13,18
2012-10-22,0,14,13
2012-10-22,0,15,29
2012-10-22,0,16,19
2012-10-22,0,17,19
2012-10-22,0,18,6
2012-10-22,0,19,15
2012-10-22,0,20,14
2012-10-22,0,21,6
2012-10-22,0,22,12
2012-10-22,0,23,11
2012-10-23,1,0,9
2012-10-23,1,1,11
2012-10-23,1,2,4
2012-10-23,1,3,3
2012-10-23,1,4,10
2012-10-23,1,5,9
2012-10-23,1,6,5
2012-10-23,1,7,7
2012-10-23,1,8,11
2012-10-23,1,9,16
2012-10-23,1,10,23
2012-10-23,1,11,10
2012-10-23,1,12,34
2012-10-23,1,13,22
2012-10-23,1,14,22
2012-10-23,1,15,15
2012-10-23,1,16,30
2012-10-23,1,17,21
2012-10-23,1,18,18
2012-10-23,1,19,13
2012-10-23,1,20,13
2012-10-23,1,21,11
2012-10-23,1,22,13
2012-10-23,1,23,14
2012-10-24,2,0,9
2012-10-24,2,1,6
2012-10-24,2,2,7
2012-10-24,2,3,5
2012-10-24,2,4,4
2012-10-24,2,5,7
2012-10-24,2,6,7
2012-10-24,2,7,6
2012-10-24,2,8,15
2012-10-24,2,9,28
2012-10-24,2,10,26
2012-10-24,2,11,30
2012-10-24,2,12,33
2012-10-24,2,13,26
2012-10-24,2,14,30
2012-10-24,2,15,23
2012-10-24,2,16,22
2012-10-24,2,17,23
2012-10-24,2,18,15
2012-10-24,2,19,11
2012-10-24,2,20,20
2012-10-24,2,21,13
2012-10-24,2,22,13
2012-10-24,2,23,12
2012-10-25,3,0,9
2012-10-25,3,1,5
2012-10-25,3,2,8
2012-10-25,3,3,6
2012-10-25,3,4,2
2012-10-25,3,5,5
2012-10-25,3,6,4
2012-10-25,3,7,18
2012-10-25,3,8,21
2012-10-25,3,9,22
2012-10-25,3,10,25
2012-10-25,3,11,21
2012-10-25,3,12,20
2012-10-25,3,13,27
2012-10-25,3,14,32
2012-10-25,3,15,24
2012-10-25,3,16,22
2012-10-25,3,17,22
2012-10-25,3,18,22
2012-10-25,3,19,17
2012-10-25,3,20,13
2012-10-25,3,21,5
2012-10-25,3,22,9
2012-10-25,3,23,12
2012-10-26,4,0,8
2012-10-26,4,1,7
2012-10-26,4,2,2
2012-10-26,4,3,4
2012-10-26,4,4,6
2012-10-26,4,5,5
2012-10-26,4,6,3
2012-10-26,4,7,7
2012-10-26,4,8,11
2012-10-26,4,9,15
2012-10-26,4,10,23
2012-10-26,4,11,26
2012-10-26,4,12,27
2012-10-26,4,13,29
2012-10-26,4,14,20
2012-10-26,4,15,21
2012-10-26,4,16,20
2012-10-26,4,17,12
2012-10-26,4,18,13
2012-10-26,4,19,11
2012-10-26,4,20,16
2012-10-26,4,21,6
2012-10-26,4,22,6
2012-10-26,4,23,10
2012-10-27,5,0,4
2012-10-27,5,1,10
2012-10-27,5,2,4
2012-10-27,5,3,5
2012-10-27,5,4,4
2012-10-27,5,5,7
2012-10-27,5,6,6
2012-10-27,5,7,9
2012-10-27,5,8,3
2012-10-27,5,9,6
2012-10-27,5,10,17
2012-10-27,5,11,11
2012-10-27,5,12,6
2012-10-27,5,13,10
2012-10-27,5,14,7
2012-10-27,5,15,10
2012-10-27,5,16,5
2012-10-27,5,17,1
2012-10-27,5,18,11
2012-10-27,5,19,10
2012-10-27,5,20,3
2012-10-27,5,21,6
2012-10-27,5,22,8
2012-10-27,5,23,5
2012-10-28,6,0,4
2012-10-28,6,1,2
2012-10-28,6,2,3
2012-10-28,6,4,4
2012-10-28,6,5,3
2012-10-28,6,6,3
2012-10-28,6,7,6
2012-10-28,6,8,5
2012-10-28,6,9,7
2012-10-28,6,10,6
2012-10-28,6,11,7
2012-10-28,6,12,8
2012-10-28,6,13,7
2012-10-28,6,14,7
2012-10-28,6,15,9
2012-10-28,6,16,9
2012-10-28,6,17,7
2012-10-28,6,18,10
2012-10-28,6,19,10
2012-10-28,6,20,7
2012-10-28,6,21,11
2012-10-28,6,22,13
2012-10-28,6,23,9
2012-10-29,0,0,5
2012-10-29,0,1,6
2012-10-29,0,2,2
2012-10-29,0,3,5
2012-10-29,0,4,7
2012-10-29,0,5,5
2012-10-29,0,6,4
2012-10-29,0,7,8
2012-10-29,0,8,9
2012-10-29,0,9,20
2012-10-29,0,10,18
2012-10-29,0,11,19
2012-10-29,0,12,22
2012-10-29,0,13,15
2012-10-29,0,14,16
2012-10-29,0,15,18
2012-10-29,0,16,20
2012-10-29,0,17,20
2012-10-29,0,18,13
2012-10-29,0,19,9
2012-10-29,0,20,9
2012-10-29,0,21,11
2012-10-29,0,22,8
2012-10-29,0,23,10
2012-10-30,1,0,11
